"priority_rank","record_id","target_id","pmid","year","title","topic_bucket","agent_priority","agent_recommendation","rationale","source_url"
"1","pubmed:41539356:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","41539356","2026","Adjunctive and supportive strategies to mitigate drug toxicities in the treatment of nontuberculous mycobacterial disease with future directions.","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/41539356/"
"1","pubmed:41835766:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","41835766","2026","Moxifloxacin-Induced Peripheral Neuropathy: A Rare Side Effect of Fluoroquinolone Therapy in Tuberculosis Management.","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/41835766/"
"1","pubmed:41942316:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","41942316","2026","Peripheral Neuropathy during Subcutaneous Foslevodopa/Foscarbidopa Infusion in Parkinson's Disease: A Case Series.","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/41942316/"
"1","pubmed:42161587:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","42161587","2026","Acquired vitamin B6 deficiency in POEMS: a marker of disease activity and cause of neuropathy?","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/42161587/"
"1","pubmed:42182331:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","42182331","2026","Pyridoxine supplementation confers protection against SGPL1 R222Q variant sphingosine phosphate lyase insufficiency syndrome.","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/42182331/"
"1","pubmed:40625625:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","40625625","2025","Causal Relationship Between Various Vitamins and Different Diabetic Complications: A Mendelian Randomization Study.","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/40625625/"
"1","pubmed:40636590:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","40636590","2025","Hypophosphatasia and neuropathic pain: related to vitamin B6 metabolism?","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/40636590/"
"1","pubmed:40645780:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","40645780","2025","Hypocupraemia-related drug-refractory seizures in Wilson disease.","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/40645780/"
"1","pubmed:40853095:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","40853095","2025","Unlocking Relief: Investigating the Impact of a Fixed Combination of Acetyl-L-Carnitine and Palmitoylethanolamide on Traumatic Acute Low Back Pain.","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/40853095/"
"1","pubmed:41133339:pubmed_b6_bcomplex_neuropathy_20260601T192952_ec2756d2","b6_bcomplex_neuropathy","41133339","2025","Acute non-alcoholic nutritional neuropathies in high-income countries - a systematic review.","b6_neuropathy","manual_review_high","include_candidate_for_manual_review","Matches B6/B-complex exposure plus neuropathy/neurotoxicity signal.","https://pubmed.ncbi.nlm.nih.gov/41133339/"
