candidate_pair_id,record_id_a,record_id_b,match_basis,similarity_score,auto_proposal,human_decision,representative_record_id,reviewer_id,timestamp
DUP-00001,pubmed:10084294:K5,pubmed:10084294:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:10084294:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00002,pubmed:10493280:K5,pubmed:10493280:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:10493280:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00003,pubmed:10691860:K5,pubmed:10691860:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:10691860:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00004,pubmed:10696118:K5,pubmed:10696118:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:10696118:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00005,pubmed:10720178:K5,pubmed:10720178:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:10720178:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00006,pubmed:10828183:K5,pubmed:10828183:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:10828183:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00007,pubmed:10904660:K5,pubmed:10904660:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:10904660:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00008,pubmed:10909490:K5,pubmed:10909490:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:10909490:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00009,pubmed:11087544:K4,pubmed:11087544:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:11087544:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00010,pubmed:11097107:K4,pubmed:11097107:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:11097107:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00011,pubmed:11099897:K5,pubmed:11099897:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:11099897:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00012,pubmed:11522093:K4,pubmed:11522093:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:11522093:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00013,pubmed:11545451:K5,pubmed:11545451:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:11545451:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00014,pubmed:11553264:K5,pubmed:11553264:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:11553264:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00015,pubmed:11838884:K5,pubmed:11838884:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:11838884:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00016,pubmed:11873098:K5,pubmed:11873098:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:11873098:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00017,pubmed:12071112:K4,pubmed:12071112:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:12071112:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00018,pubmed:12187291:K5,pubmed:12187291:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:12187291:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00019,pubmed:12321237:K5,pubmed:12321237:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:12321237:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00020,pubmed:12346313:K5,pubmed:12346313:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:12346313:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00021,pubmed:12424740:K5,pubmed:12424740:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:12424740:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
