rule_id,rule_review_status,clinical_node_id,rank,evidence_candidate_id,pmid,pmcid,locator,source_sha256,link_basis,link_status,supports_threshold_claim,human_verification_required
V3-DRAFT-KDRI-VD-UL,draft,K1,1,AI-FT-EV-K1-40775686-01,40775686,PMC12330119,"PMC12330119, Discussion and conclusions, Par13",671241244425e6b35d429f5e6de5d63ed0c71765a007afb71b05138d4dcc6210,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-VD-UL,draft,K1,2,AI-FT-EV-K1-39300483-01,39300483,PMC11414195,"PMC11414195, Methods/design > Safety procedures, Par46",a112e5a52784340b7477c16e44ee7d18965bcc347899c1e24e40de0c39e0eff0,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-VD-UL,draft,K1,3,AI-FT-EV-K1-24937025-01,24937025,PMC4209182,"PMC4209182, Introduction, html-p13",faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-VD-UL,draft,K1,4,AI-FT-EV-K1-38892507-01,38892507,PMC11174535,"PMC11174535, 4. Discussion, p36",91b798af07ad370c936adb4ffcdc5e17c0e2af948a4435314602f9f8d16596c1,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-VD-UL,draft,K1,5,AI-FT-EV-K1-24937025-02,24937025,PMC4209182,"PMC4209182, Discussion, html-p62",faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-VD-UL,draft,K1,6,AI-FT-EV-K1-24937025-03,24937025,PMC4209182,"PMC4209182, Introduction, html-p11",faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-VD-UL,draft,K1,7,AI-FT-EV-K1-24937025-04,24937025,PMC4209182,"PMC4209182, Discussion, html-p50",faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-VD-UL,draft,K1,8,AI-FT-EV-K1-38787821-01,38787821,PMC11125479,"PMC11125479, 4 Discussion, p14",6c652a12d3b8af25416468c8c451f195b08ea68d310c5b1acb9905295b4b04c9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-VD-UL,draft,K1,9,AI-FT-EV-K1-40083990-01,40083990,PMC11903805,"PMC11903805, Discussion, p0350",33d3edb9423b1a73bd92cc1bd75d1da5fdf437a2ab462b83f8a1010cdc851930,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-VD-UL,draft,K1,10,AI-FT-EV-K1-40551736-01,40551736,PMC12183072,"PMC12183072, Human health > Bone health > Osteoporosis management, p23",521950060962b31b12f7bc9d579c0495229253139f161d6afcd4524dfd6b9d0d,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
