pmcid,source_path,source_sha256,linked_candidate_records,paragraphs_parsed,ai_evidence_candidates,review_status
PMC10068214,research_v3/full_text/oa_xml/PMC10068214.xml,3137c2723de05948822782f9a6f36002eeb0df00c9839b5b1867d5e0cffdf885,1,22,5,ai_extracted_not_human_verified
PMC10189633,research_v3/full_text/oa_xml/PMC10189633.xml,fb6e35777f858f6fe4a52b278077a4b5809d1207073eea2bd1de125ec38b5529,1,287,5,ai_extracted_not_human_verified
PMC10343656,research_v3/full_text/oa_xml/PMC10343656.xml,ef9280702f4cebec544c144001ce31baac98223c700dc960942524ed30190cf3,1,57,5,ai_extracted_not_human_verified
PMC10494335,research_v3/full_text/oa_xml/PMC10494335.xml,c7bcb1501332d836e7afe77f8e17f32ef72a6c126419afdb8dea3a26c4c88986,1,37,5,ai_extracted_not_human_verified
PMC10509448,research_v3/full_text/oa_xml/PMC10509448.xml,e101137e5814304cbdefa60b094cfa94d12b39dc3077de8b82be4e101b2e1d5d,1,27,5,ai_extracted_not_human_verified
PMC10510946,research_v3/full_text/oa_xml/PMC10510946.xml,55ae20aad2ba4b9a477968a686797bb69d4bcbd6a2e382546ba24e12593abbe9,1,11,5,ai_extracted_not_human_verified
PMC11027386,research_v3/full_text/oa_xml/PMC11027386.xml,a801c310ff571f4361f410911d7852cf47d604b9b04c42ceaad20be52af82c0c,1,47,5,ai_extracted_not_human_verified
PMC11125479,research_v3/full_text/oa_xml/PMC11125479.xml,6c652a12d3b8af25416468c8c451f195b08ea68d310c5b1acb9905295b4b04c9,1,18,5,ai_extracted_not_human_verified
PMC11155223,research_v3/full_text/oa_xml/PMC11155223.xml,13024f63716158f162fc57d6d056e73ce45a183b22ac61e71dbf9acfb61a9c09,1,16,5,ai_extracted_not_human_verified
PMC11174535,research_v3/full_text/oa_xml/PMC11174535.xml,91b798af07ad370c936adb4ffcdc5e17c0e2af948a4435314602f9f8d16596c1,1,46,5,ai_extracted_not_human_verified
PMC11304700,research_v3/full_text/oa_xml/PMC11304700.xml,5d21d0f4779c9b7500f38badb14b3821d34b8c6061da6f6c9f7c7eb166c59e4e,1,37,5,ai_extracted_not_human_verified
PMC11414195,research_v3/full_text/oa_xml/PMC11414195.xml,a112e5a52784340b7477c16e44ee7d18965bcc347899c1e24e40de0c39e0eff0,1,51,5,ai_extracted_not_human_verified
PMC11458663,research_v3/full_text/oa_xml/PMC11458663.xml,97c49667b84c7be0447e36a890cd749895f8bf6251a33c8a3f3cd3f7af8fce1b,1,32,5,ai_extracted_not_human_verified
PMC11501097,research_v3/full_text/oa_xml/PMC11501097.xml,cea43f8a573845bce421f4a913d00f65c6782e8b5f9fbdba23331f9b5747ad3b,1,44,5,ai_extracted_not_human_verified
PMC11622351,research_v3/full_text/oa_xml/PMC11622351.xml,3e0f063885b7f5d573b4b30dd580471321658eb5806afac6ae41975dfdabd441,1,53,5,ai_extracted_not_human_verified
PMC11639052,research_v3/full_text/oa_xml/PMC11639052.html,7597d079f9e8421d928cd312ca0ee26a8f6bbb39fe93be5d64967ec0fea53696,1,397,5,ai_extracted_not_human_verified
PMC11646675,research_v3/full_text/oa_xml/PMC11646675.xml,4ac676e2e69f15a75ae2cb4987b8386b3f4fc584c5593be8f3118d8f7b2898f7,1,44,5,ai_extracted_not_human_verified
PMC11775356,research_v3/full_text/oa_xml/PMC11775356.html,6c72bb770407bb89a1944a20cbe4ca5cc3dbcfd19c002552b8b8de37e0122da2,1,47,3,ai_extracted_not_human_verified
PMC11885599,research_v3/full_text/oa_xml/PMC11885599.xml,40fbb4402bd0c02282c4d9b19c6e6ab568baa9d441f4846b7314035403bd898a,1,38,5,ai_extracted_not_human_verified
PMC11902287,research_v3/full_text/oa_xml/PMC11902287.xml,ddb055055ff9ff197343024d9c1fe1e7161745b5b72f2f3272578dc006afa684,1,52,5,ai_extracted_not_human_verified
