evidence_candidate_id,parent_candidate_id,pmid,pmcid,clinical_node_id,ingredient,title,source_path,source_sha256,section_title,locator,evidence_text,signal_types,dose_mentions,population_mentions,duration_mentions,design_signals,ai_relevance_score,reviewer_id,review_status,human_verification_required
AI-FT-EV-K3-37010569-01,EV-K3-37010569,37010569,PMC10068214,K3,iron,A randomized controlled trial of thrice-weekly versus thrice-daily oral ferrous fumarate treatment in adult patients with iron-deficiency anemia.,research_v3/full_text/oa_xml/PMC10068214.xml,3137c2723de05948822782f9a6f36002eeb0df00c9839b5b1867d5e0cffdf885,Results > Secondary endpoints,"PMC10068214, Results > Secondary endpoints, Par12","With regards to safety issues associated with the treatment, Table 6 summarizes the common AEs of oral ferrous fumarate in both arms. There were predominant gastrointestinal AEs, including nausea, epigastric discomfort, and metallic taste.",gastrointestinal;nausea;constipation;diarrhea;adverse event;safety,,,,,18,codex_ai,ai_extracted_not_human_verified,true
AI-FT-EV-K3-37010569-02,EV-K3-37010569,37010569,PMC10068214,K3,iron,A randomized controlled trial of thrice-weekly versus thrice-daily oral ferrous fumarate treatment in adult patients with iron-deficiency anemia.,research_v3/full_text/oa_xml/PMC10068214.xml,3137c2723de05948822782f9a6f36002eeb0df00c9839b5b1867d5e0cffdf885,Discussion,"PMC10068214, Discussion, Par14","Recent data suggest that a lower dose along with less frequent administration may be just as effective while probably associated with lower rates of adverse effects [7, 11, 12]. This study was designed to determine the response of treatment for IDA with oral ferrous fumarate administered thrice weekly (TIW), as not inferior to the thrice daily (TID) regimen, and compared the incidence of the adverse event between the two regimens.",adverse event;adverse effect,200 mg,pregnant;women;adult,12 weeks,systematic review,10,codex_ai,ai_extracted_not_human_verified,true
AI-FT-EV-K3-37010569-03,EV-K3-37010569,37010569,PMC10068214,K3,iron,A randomized controlled trial of thrice-weekly versus thrice-daily oral ferrous fumarate treatment in adult patients with iron-deficiency anemia.,research_v3/full_text/oa_xml/PMC10068214.xml,3137c2723de05948822782f9a6f36002eeb0df00c9839b5b1867d5e0cffdf885,Introduction,"PMC10068214, Introduction, Par3",More recent data suggest that lower doses and infrequent administration may be as effective as the traditional regimen while probably associated with lower rates of adverse effects. This study aimed to investigate whether thrice-weekly compared to a thrice-daily dose of oral 200 mg ferrous fumarate tablet for 12 weeks is inferior in terms of efficacy and safety for the treatment of IDA.,adverse effect;safety,200 mg,,12 weeks,,9,codex_ai,ai_extracted_not_human_verified,true
AI-FT-EV-K3-37010569-04,EV-K3-37010569,37010569,PMC10068214,K3,iron,A randomized controlled trial of thrice-weekly versus thrice-daily oral ferrous fumarate treatment in adult patients with iron-deficiency anemia.,research_v3/full_text/oa_xml/PMC10068214.xml,3137c2723de05948822782f9a6f36002eeb0df00c9839b5b1867d5e0cffdf885,Discussion,"PMC10068214, Discussion, Par18",The adverse events of oral iron treatment were predominately gastrointestinal symptoms. More episodes of nausea and epigastric discomfort were reported in the TID arm than in the TIW arm.,gastrointestinal;nausea;adverse event,,,,,9,codex_ai,ai_extracted_not_human_verified,true
AI-FT-EV-K3-37010569-05,EV-K3-37010569,37010569,PMC10068214,K3,iron,A randomized controlled trial of thrice-weekly versus thrice-daily oral ferrous fumarate treatment in adult patients with iron-deficiency anemia.,research_v3/full_text/oa_xml/PMC10068214.xml,3137c2723de05948822782f9a6f36002eeb0df00c9839b5b1867d5e0cffdf885,Introduction,"PMC10068214, Introduction, Par2","Because blood is iron-rich, IDA in adult patients can mostly result from chronic blood loss, and this is a common mechanism underlying the development of iron deficiency, for example, as a consequence of menstrual or significant gastrointestinal blood loss, as well as hookworm infestation [7]. Multiple medications such as antacids, histamine-2 receptor antagonists (H2RAs), proton pump inhibitors (PPIs), non-steroidal anti-inflammatory drugs (NSAIDs), aspirin, zinc, and manganese can contribute t",gastrointestinal;risk,,men;pregnant;women;adult,15 years,,8,codex_ai,ai_extracted_not_human_verified,true
AI-FT-EV-K2-37207271-01,EV-K2-37207271,37207271,PMC10189633,K2,vitamin B6,Scientific opinion on the tolerable upper intake level for vitamin B6.,research_v3/full_text/oa_xml/PMC10189633.xml,fb6e35777f858f6fe4a52b278077a4b5809d1207073eea2bd1de125ec38b5529,Introduction > Context of the assessment,"PMC10189633, Introduction > Context of the assessment, p12","The SCF in (2000) set a UL of 25 mg/day for vitamin B6 in adults, including pregnant and lactating women, based on evidence of neurotoxicity from animal and human studies. Most of the available evidence in humans came from case‐reports, indicating the occurrence of clinical neuropathy at exposure levels between 100 and 6,000 mg/day vitamin B6 and at variable latency periods (1–72 months) (Schaumburg et al., 1983; Berger and Schaumburg, 1984; Parry and Bredesen, 1985; Friedman et al., 1986; Water",neuropathy;neurotoxicity;sensory;toxicity,"25 mg/day;6,000 mg/day;6 g;500 mg/day;50 mg/day;100 mg",pregnant;women;children;infants,72 months;40 months;6 months;5 years,,16,codex_ai,ai_extracted_not_human_verified,true
AI-FT-EV-K2-37207271-02,EV-K2-37207271,37207271,PMC10189633,K2,vitamin B6,Scientific opinion on the tolerable upper intake level for vitamin B6.,research_v3/full_text/oa_xml/PMC10189633.xml,fb6e35777f858f6fe4a52b278077a4b5809d1207073eea2bd1de125ec38b5529,Assessment > Hazard characterisation > Selection of the critical effect and the reference point,"PMC10189633, Assessment > Hazard characterisation > Selection of the critical effect and the reference point, p230","A subchronic study in Beagle dogs (Phillips et al., 1978) allows the establishment of a LOAEL of 50 mg/kg bw per day. All Beagle dogs (n = 5) consuming this dose for around 100 days showed bilateral loss of myelin in the dorsal sensory nerve roots, but no symptoms of neurotoxicity.",neurotoxicity;sensory;toxicity,50 mg;200 mg,,100 days,,12,codex_ai,ai_extracted_not_human_verified,true
AI-FT-EV-K2-37207271-03,EV-K2-37207271,37207271,PMC10189633,K2,vitamin B6,Scientific opinion on the tolerable upper intake level for vitamin B6.,research_v3/full_text/oa_xml/PMC10189633.xml,fb6e35777f858f6fe4a52b278077a4b5809d1207073eea2bd1de125ec38b5529,Assessment > Hazard characterisation > Selection of the critical effect and the reference point,"PMC10189633, Assessment > Hazard characterisation > Selection of the critical effect and the reference point, p228","In the study by Dalton and Dalton (1987) neuropathy was reported in 48% of all women having taken vitamin B6 supplements < 50 mg/day for at least 6 months (i.e. Based on the study by Dalton and Dalton (1987) and supported by other case reports (Dalton, 1985; Dalton and Dalton, 1987; Blackburn and Warren, 2017) and Member States' vigilance data, a RP of 50 mg/day can be identified.",neuropathy;adverse effect,50 mg/day;50 mg,women,6 months,,10,codex_ai,ai_extracted_not_human_verified,true
AI-FT-EV-K2-37207271-04,EV-K2-37207271,37207271,PMC10189633,K2,vitamin B6,Scientific opinion on the tolerable upper intake level for vitamin B6.,research_v3/full_text/oa_xml/PMC10189633.xml,fb6e35777f858f6fe4a52b278077a4b5809d1207073eea2bd1de125ec38b5529,Assessment > Hazard identification > Peripheral neuropathy > Evidence from human studies relating vitamin B6 intake to neuropathy > Prospective cohort study,"PMC10189633, Assessment > Hazard identification > Peripheral neuropathy > Evidence from human studies relating vitamin B6 intake to neuropathy > Prospective cohort study, p116",(2006) followed 96 pregnant women up to birth who had taken vitamin B6 supplements during the first trimester of pregnancy in amounts of 50–150 mg/day for an average of 9 ± 4 (SD) weeks. The authors report that no adverse events related to vitamin B6 use were reported by participants.,neuropathy;adverse event,150 mg/day,pregnant;women;pregnancy,,cohort,9,codex_ai,ai_extracted_not_human_verified,true
AI-FT-EV-K2-37207271-05,EV-K2-37207271,37207271,PMC10189633,K2,vitamin B6,Scientific opinion on the tolerable upper intake level for vitamin B6.,research_v3/full_text/oa_xml/PMC10189633.xml,fb6e35777f858f6fe4a52b278077a4b5809d1207073eea2bd1de125ec38b5529,Assessment > Hazard identification > Peripheral neuropathy > Evidence from human studies relating vitamin B6 intake to neuropathy > Nutrivigilance data,"PMC10189633, Assessment > Hazard identification > Peripheral neuropathy > Evidence from human studies relating vitamin B6 intake to neuropathy > Nutrivigilance data, p126","Between 2007 and 2022, 191 cases 20 of individuals who had experienced symptoms of neuropathy following supplemental vitamin B6 intake have been notified to the Dutch vigilance database. Of these, 10 were submitted by a physician, 7 by a pharmacist and the remaining 174 by consumers.",neuropathy;harm,1.4 mg/day;209 mg/day;100 mg/day;125 mg/day,,5 days;6 months;2 weeks;3 years,,9,codex_ai,ai_extracted_not_human_verified,true
