evidence_id,record_id,ingredient_id,population,exposure,comparator,outcome,effect_value,effect_unit,source_id,locator,verbatim_quote,review_status,reviewer_id,reviewed_at
AI-FT-EV-K1-24937025-01,EV-K1-24937025,K1,,"1200 mg/day;2,000mg/day;2000 mg daily;1700mg daily; 70 years",,hypercalcemia;hypercalciuria;toxicity;adverse event,,,PMC4209182,"PMC4209182, Introduction, html-p13","Studies of toxicity after high calcium intake are rare. The RDA for calcium for older adults age 50–70 years is 1000–1200 mg/day and the recommended upper limit is 2,000mg/day (1).",verified,권혁찬,2026-07-13T11:55:11.881Z
AI-FT-EV-K1-24937025-02,EV-K1-24937025,K1,women;men,,,hypercalcemia;hypercalciuria;kidney stone;risk,,,PMC4209182,"PMC4209182, Discussion, html-p62",Healthcare practitioners who advise women on osteoporosis prevention seldom consider the issue of hypercalcemia and hypercalciuria by testing serum and urine calcium on an ongoing basis. It is known that 5–8% of men and women have idiopathic hypercalciuria which is a risk factor for kidney stones and one would expect that millions of men and women who take calcium supplements are in this risk group.,verified,권혁찬,2026-07-13T11:55:11.881Z
AI-FT-EV-K1-24937025-03,EV-K1-24937025,K1,,,,hypercalcemia;hypercalciuria;kidney stone;adverse event,,,PMC4209182,"PMC4209182, Introduction, html-p11","There have been many trials of the effect of vitamin D and calcium on bone but no systematic study of potential adverse events such as hypercalcemia, hypercalciuria and kidney stones (1).",verified,권혁찬,2026-07-13T11:55:11.881Z
AI-FT-EV-K1-24937025-04,EV-K1-24937025,K1,women,600 mg;400mg;300mg,,hypercalcemia;hypercalciuria;risk,,,PMC4209182,"PMC4209182, Discussion, html-p50",No relationship was found between episodes of hypercalcemia and hypercalciuria and either the vitamin D3 dose or serum 25OHD but 24h urine calcium was weakly related to the 12-month serum 25OHD level. The women that develop hypercalciuria appear to be different from those that develop hypercalcemia as shown in Figure 4 but we found no difference in any variables that explained this finding.,verified,권혁찬,2026-07-13T11:55:11.881Z
AI-FT-EV-K1-24937025-05,EV-K1-24937025,K1,postmenopausal;women,,,hypercalcemia;hypercalciuria;safety,,,PMC4209182,"PMC4209182, Introduction, html-p15",There has never been an evidence-based evaluation of the safety of calcium and vitamin D supplements despite widespread use. In this paper we report on the incidence of hypercalciuria and hypercalcemia measured prospectively as a secondary outcome in a clinical trial of vitamin D supplementation and calcium in older postmenopausal women.,verified,권혁찬,2026-07-13T11:55:11.881Z
AI-FT-EV-K1-36744416-01,EV-K1-36744416,K1,,,,side effect;risk;harm,,,PMC9899558,"PMC9899558, Plain language summary, html-p25",• Vitamin D supplementation did not influence measurements of asthma control or breathing capacity; neither did it affect risk of serious harmful side effects.,verified,권혁찬,2026-07-13T11:55:14.316Z
AI-FT-EV-K1-36744416-02,EV-K1-36744416,K1,,,,hypercalciuria;kidney stone;adverse event,,,PMC9899558,"PMC9899558, Main results, html-p12","We observed no effect on the incidence of serious adverse events (OR 0.89, 95% CI 0.56 to 1.41; I2 = 0%; 12 studies, 1556 participants; high‐quality evidence). These occurred across treatment and control arms and included hypercalciuria, hypervitaminosis D, kidney stones, gastrointestinal symptoms and mild itch.",verified,권혁찬,2026-07-13T11:55:14.316Z
AI-FT-EV-K1-36744416-03,EV-K1-36744416,K1,,"400 IU;100,000 IU",,hypercalciuria;harm,,,PMC9899558,"PMC9899558, Vitamin D versus placebo: all eligible trials, html-p138","Two trials reported occurrences of hypercalciuria, an event that is recognised as a potential adverse reaction to vitamin D. This trial involved administration of 400 IU vitamin D3 to both study arms, and an initial 100,000 IU bolus for the intervention arm.",verified,권혁찬,2026-07-13T11:55:14.316Z
AI-FT-EV-K1-36744416-04,EV-K1-36744416,K1,children,,,risk;harm,,,PMC9899558,"PMC9899558, Why it is important to do this review, html-p35",There is considerable interest in the therapeutic potential of vitamin D in asthma to improve symptom control and reduce exacerbation risk. We therefore conducted an updated meta‐analysis to include data from these new trials (Aglipay 2019; Andújar‐Espinosa 2021; Camargo 2021; Ducharme 2019; Forno 2020; Jat 2020; Jerzynska 2016; Jiang 2017; Kerley 2016; Ramos‐Martínez 2018; Thakur 2021).,verified,권혁찬,2026-07-13T11:55:14.316Z
AI-FT-EV-K1-36744416-05,EV-K1-36744416,K1,child,,,risk;harm,,,PMC9899558,"PMC9899558, Selective reporting, html-p101",The study by Ducharme and colleagues reported different primary and secondary outcomes to those prespecified in the study protocol as a result of premature trial cessation due to partial funding (Ducharme 2019). We therefore assessed the risk of reporting bias as unclear.,verified,권혁찬,2026-07-13T11:55:14.316Z
AI-FT-EV-K1-38787821-01,EV-K1-38787821,K1,,,,kidney stone;adverse event;safety;risk,,,PMC11125479,"PMC11125479, 4 Discussion, p14","This meta-analysis included 12 RCTs involving 43118 participants and provided an overview of the efficacy and safety of vitamin D supplementation in preventing ARIs in older adults. For safety outcomes, the use of vitamin D supplements has no significant difference in death due to any cause, any adverse event, hypercalcinemia, and kidney stones.",verified,권혁찬,2026-07-13T11:55:06.634Z
AI-FT-EV-K1-38787821-02,EV-K1-38787821,K1,,,,hypercalcemia;kidney stone;adverse event,,,PMC11125479,"PMC11125479, 3 Results > 3.5 Safety outcomes, p13","The results showed that vitamin D supplementation may result in little to no difference in death due to any cause (6 trials; RR, 1.11; 95% CI, 0.75–1.64, I2 = 1.3%; low certainty), any adverse event (6 trials; RR, 0.94; 95% CI, 0.87–1.03, I2 = 75.7%; low certainty), hypercalcemia (2 trials; RR, 1.14; 95% CI, 0.71–1.81, I2 = 22.8%; moderate certainty), and kidney stones (2 trials; RR, 0.99; 95% CI, 0.78–1.27, I2 = 0.0%; moderate certainty) (Fig 4).",verified,권혁찬,2026-07-13T11:55:06.634Z
AI-FT-EV-K1-38787821-03,EV-K1-38787821,K1,children,,,safety;risk,,,PMC11125479,"PMC11125479, 1 Introduction, p2","Interest in the potential of vitamin D supplementation to reduce the risk of ARIs has surged following the onset of the COVID-19 pandemic [4]. Furthermore, observational studies have consistently shown an inverse association between serum 25(OH)D levels and the risk or severity of ARIs [7,8].",verified,권혁찬,2026-07-13T11:55:06.634Z
AI-FT-EV-K1-38787821-04,EV-K1-38787821,K1,,,,kidney stone;adverse event,,,PMC11125479,"PMC11125479, 2 Materials and methods > 2.2 Data extraction, p6",Secondary outcomes were the proportions of participants experiencing one or more of the following outcomes: upper respiratory infection; lower respiratory infection; hospital admission due to an ARI; death due to any cause; any adverse event; and potential adverse reactions to vitamin D (hypercalcinemia and kidney stones).,verified,권혁찬,2026-07-13T11:55:06.634Z
AI-FT-EV-K1-38787821-05,EV-K1-38787821,K1,,,,safety;risk,,,PMC11125479,"PMC11125479, 1 Introduction, p3","While some meta-analyses of the association between vitamin D supplementation and the risk of ARIs in the pediatric populations have been published [13,14], the efficacy of vitamin D supplementation in preventing ARIs in older adults remains uncertain and has not been thoroughly reviewed to the best of our knowledge. Therefore, we systematically reviewed evidence from RCTs to evaluate the efficacy and safety of vitamin D supplementation in preventing ARIs in older adults.",verified,권혁찬,2026-07-13T11:55:06.634Z
AI-FT-EV-K1-38892507-01,EV-K1-38892507,K1,,"10,000 IU",,hypercalcemia;adverse effect;safety;risk,,,PMC11174535,"PMC11174535, 4. Discussion, p36","In anticipation of these findings, changes in safety parameters, including serum 1,25(OH)2D, were analyzed throughout the study period. Serum 25-hydroxyvitamin D concentrations above 375 nmol/L (>150 ng/mL) would indicate Vitamin D overdosing and a high risk of hypercalcemia [42].",verified,권혁찬,2026-07-13T11:55:06.966Z
AI-FT-EV-K1-38892507-02,EV-K1-38892507,K1,,1000 IU;2500 IU; 60 days,,safety;harm,,,PMC11174535,"PMC11174535, 1. Introduction, p6","In view of these findings, the goal of this (follow-up) pilot study was to compare micellar Vitamin D3 (i.e., LMD) with standard Vitamin D3 (i.e., STD), both formulated in a liquid (oil-based) softgel capsule, regarding their pharmacokinetic and safety profile in healthy adults following daily oral administration at dosages of 1000 IU and 2500 IU. Thereafter, the pharmacokinetics with respect to AUC and Cmax of serum circulatory 25-hydroxyvitamin D (25(OH)D), as well as 1,25-dihydroxyvitamin D (",verified,권혁찬,2026-07-13T11:55:06.966Z
AI-FT-EV-K1-38892507-03,EV-K1-38892507,K1,,"10,000 IU;100,000 IU; 30 days;40 days;14 days",,harm,,,PMC11174535,"PMC11174535, 4. Discussion, p35","However, a much higher daily dose of 10,000 IU of Vitamin D3 was administered in that study compared to the doses used in the current study. The prolonged time to reach Cmax may be a more common pharmacokinetic characteristic of higher doses and novel formulations of Vitamin D since Mentaverri et al.",verified,권혁찬,2026-07-13T11:55:06.966Z
