quantitative_id,evidence_id,record_id,ingredient_id,statistic_type,measure_label,estimate,ci_lower,ci_upper,range_lower,range_upper,numerator,denominator,unit,exact_text,source_id,locator,extraction_method,validation_status,synthesis_eligible
QT-AI-FT-EV-K1-24937025-02-01,AI-FT-EV-K1-24937025-02,EV-K1-24937025,K1,reported_percentage,percentage,,,,5,8,,,%,5–8%,PMC4209182,"PMC4209182, Discussion, html-p62",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-36744416-02-01,AI-FT-EV-K1-36744416-02,EV-K1-36744416,K1,relative_effect_measure,OR,0.89,0.56,1.41,,,,,ratio,"OR 0.89, 95% CI 0.56 to 1.41",PMC9899558,"PMC9899558, Main results, html-p12",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-36744416-02-02,AI-FT-EV-K1-36744416-02,EV-K1-36744416,K1,reported_percentage,percentage,0,,,,,,,%, 0%,PMC9899558,"PMC9899558, Main results, html-p12",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-38787821-02-01,AI-FT-EV-K1-38787821-02,EV-K1-38787821,K1,relative_effect_measure,RR,1.11,0.75,1.64,,,,,ratio,"RR, 1.11; 95% CI, 0.75–1.64",PMC11125479,"PMC11125479, 3 Results > 3.5 Safety outcomes, p13",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-38787821-02-02,AI-FT-EV-K1-38787821-02,EV-K1-38787821,K1,relative_effect_measure,RR,0.94,0.87,1.03,,,,,ratio,"RR, 0.94; 95% CI, 0.87–1.03",PMC11125479,"PMC11125479, 3 Results > 3.5 Safety outcomes, p13",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-38787821-02-03,AI-FT-EV-K1-38787821-02,EV-K1-38787821,K1,relative_effect_measure,RR,1.14,0.71,1.81,,,,,ratio,"RR, 1.14; 95% CI, 0.71–1.81",PMC11125479,"PMC11125479, 3 Results > 3.5 Safety outcomes, p13",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-38787821-02-04,AI-FT-EV-K1-38787821-02,EV-K1-38787821,K1,relative_effect_measure,RR,0.99,0.78,1.27,,,,,ratio,"RR, 0.99; 95% CI, 0.78–1.27",PMC11125479,"PMC11125479, 3 Results > 3.5 Safety outcomes, p13",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-38787821-02-05,AI-FT-EV-K1-38787821-02,EV-K1-38787821,K1,reported_percentage,percentage,1.3,,,,,,,%, 1.3%,PMC11125479,"PMC11125479, 3 Results > 3.5 Safety outcomes, p13",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-38787821-02-06,AI-FT-EV-K1-38787821-02,EV-K1-38787821,K1,reported_percentage,percentage,75.7,,,,,,,%, 75.7%,PMC11125479,"PMC11125479, 3 Results > 3.5 Safety outcomes, p13",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-38787821-02-07,AI-FT-EV-K1-38787821-02,EV-K1-38787821,K1,reported_percentage,percentage,22.8,,,,,,,%, 22.8%,PMC11125479,"PMC11125479, 3 Results > 3.5 Safety outcomes, p13",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K1-38787821-02-08,AI-FT-EV-K1-38787821-02,EV-K1-38787821,K1,reported_percentage,percentage,0.0,,,,,,,%, 0.0%,PMC11125479,"PMC11125479, 3 Results > 3.5 Safety outcomes, p13",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
