evidence_candidate_id,pmid,pmcid,retrieval_status,retrieval_url,local_path,bytes,sha256,retrieved_at_utc,error,review_status
EV-K1-22422535,22422535,,no_pmc_open_access_identifier,,,,,,,retrieved_not_human_reviewed
EV-K1-24937025,24937025,PMC4209182,retrieved_public_pmc_html,https://pmc.ncbi.nlm.nih.gov/articles/PMC4209182/?report=xml,research_v3/full_text/oa_xml/PMC4209182.html,169337,faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,2026-07-13T08:54:55+00:00,Europe PMC XML unavailable: HTTP Error 404: Not Found,retrieved_not_human_reviewed
EV-K1-27765695,27765695,,no_pmc_open_access_identifier,,,,,,,retrieved_not_human_reviewed
EV-K1-30180273,30180273,,no_pmc_open_access_identifier,,,,,,,retrieved_not_human_reviewed
EV-K1-31005969,31005969,,no_pmc_open_access_identifier,,,,,,,retrieved_not_human_reviewed
EV-K1-36744416,36744416,PMC9899558,retrieved_public_pmc_html,https://pmc.ncbi.nlm.nih.gov/articles/PMC9899558/?report=xml,research_v3/full_text/oa_xml/PMC9899558.html,631722,6a8c4cab0926c25e74b35be5fa2d78bd7304b7cfe59e8b8b16a5a68a43495033,2026-07-13T08:54:58+00:00,Europe PMC XML unavailable: HTTP Error 404: Not Found,retrieved_not_human_reviewed
EV-K1-38589121,38589121,,no_pmc_open_access_identifier,,,,,,,retrieved_not_human_reviewed
EV-K1-38787821,38787821,PMC11125479,retrieved_open_access_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11125479/fullTextXML,research_v3/full_text/oa_xml/PMC11125479.xml,122412,6c652a12d3b8af25416468c8c451f195b08ea68d310c5b1acb9905295b4b04c9,2026-07-13T08:55:00+00:00,,retrieved_not_human_reviewed
EV-K1-38892507,38892507,PMC11174535,retrieved_open_access_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11174535/fullTextXML,research_v3/full_text/oa_xml/PMC11174535.xml,151233,91b798af07ad370c936adb4ffcdc5e17c0e2af948a4435314602f9f8d16596c1,2026-07-13T08:55:02+00:00,,retrieved_not_human_reviewed
EV-K1-39300483,39300483,PMC11414195,retrieved_open_access_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11414195/fullTextXML,research_v3/full_text/oa_xml/PMC11414195.xml,130523,a112e5a52784340b7477c16e44ee7d18965bcc347899c1e24e40de0c39e0eff0,2026-07-13T08:55:04+00:00,,retrieved_not_human_reviewed
EV-K1-39413318,39413318,,no_pmc_open_access_identifier,,,,,,,retrieved_not_human_reviewed
EV-K1-39747809,39747809,,no_pmc_open_access_identifier,,,,,,,retrieved_not_human_reviewed
EV-K1-39886277,39886277,PMC11775356,retrieved_public_pmc_html,https://pmc.ncbi.nlm.nih.gov/articles/PMC11775356/?report=xml,research_v3/full_text/oa_xml/PMC11775356.html,148750,6c72bb770407bb89a1944a20cbe4ca5cc3dbcfd19c002552b8b8de37e0122da2,2026-07-13T08:55:06+00:00,Europe PMC XML unavailable: HTTP Error 404: Not Found,retrieved_not_human_reviewed
EV-K1-40083990,40083990,PMC11903805,retrieved_open_access_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11903805/fullTextXML,research_v3/full_text/oa_xml/PMC11903805.xml,334159,33d3edb9423b1a73bd92cc1bd75d1da5fdf437a2ab462b83f8a1010cdc851930,2026-07-13T08:55:09+00:00,,retrieved_not_human_reviewed
EV-K1-40466630,40466630,PMC12193742,retrieved_open_access_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12193742/fullTextXML,research_v3/full_text/oa_xml/PMC12193742.xml,87245,f65f56e677180048c620b48d070a87392d016ad8d1890e72054ae216a9c6b8ff,2026-07-13T08:55:10+00:00,,retrieved_not_human_reviewed
EV-K1-40499784,40499784,,no_pmc_open_access_identifier,,,,,,,retrieved_not_human_reviewed
EV-K1-40551736,40551736,PMC12183072,retrieved_open_access_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12183072/fullTextXML,research_v3/full_text/oa_xml/PMC12183072.xml,288843,521950060962b31b12f7bc9d579c0495229253139f161d6afcd4524dfd6b9d0d,2026-07-13T08:55:13+00:00,,retrieved_not_human_reviewed
EV-K1-40616189,40616189,PMC12226867,retrieved_open_access_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12226867/fullTextXML,research_v3/full_text/oa_xml/PMC12226867.xml,105469,93428a4e058a0c96bc8ce790df5bd85537ec9fa419ee9bd7118286d993709cee,2026-07-13T08:55:15+00:00,,retrieved_not_human_reviewed
