review_id,strategy_id,query_sha256,reviewer_id,review_date_utc,question_number,criterion,rating,comment,required_change,resolution,status
PRESS-K1-01,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,,,1,연구질문과 검색개념의 일치,,,,,not_reviewed
PRESS-K1-02,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,,,2,주제명(MeSH)과 자유어 누락,,,,,not_reviewed
PRESS-K1-03,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,,,3,철자·구문·괄호·필드 태그,,,,,not_reviewed
PRESS-K1-04,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,,,4,Boolean 연산자와 근접연산자 사용,,,,,not_reviewed
PRESS-K1-05,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,,,5,지나치게 넓거나 좁은 검색 블록,,,,,not_reviewed
PRESS-K1-06,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,,,6,알려진 핵심 문헌 회수,,,,,not_reviewed
PRESS-K1-07,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,,,7,불필요한 제한과 편향 위험,,,,,not_reviewed
PRESS-K2-01,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,,,1,연구질문과 검색개념의 일치,,,,,not_reviewed
PRESS-K2-02,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,,,2,주제명(MeSH)과 자유어 누락,,,,,not_reviewed
PRESS-K2-03,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,,,3,철자·구문·괄호·필드 태그,,,,,not_reviewed
PRESS-K2-04,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,,,4,Boolean 연산자와 근접연산자 사용,,,,,not_reviewed
PRESS-K2-05,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,,,5,지나치게 넓거나 좁은 검색 블록,,,,,not_reviewed
PRESS-K2-06,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,,,6,알려진 핵심 문헌 회수,,,,,not_reviewed
PRESS-K2-07,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,,,7,불필요한 제한과 편향 위험,,,,,not_reviewed
PRESS-K3-01,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,,,1,연구질문과 검색개념의 일치,,,,,not_reviewed
PRESS-K3-02,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,,,2,주제명(MeSH)과 자유어 누락,,,,,not_reviewed
PRESS-K3-03,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,,,3,철자·구문·괄호·필드 태그,,,,,not_reviewed
PRESS-K3-04,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,,,4,Boolean 연산자와 근접연산자 사용,,,,,not_reviewed
