question_id,run_id,executed_at_utc,query_sha256,hit_count,fetched_count,status,total_hit_limit,notes
OTC-LIT-Q01-ACETAMINOPHEN,20260726T164128Z,2026-07-26T16:41:28.493971+00:00,66cf6c37f45d4b7c3812133a6b1468d2f1588dc2ee024dcac087a5837f914b2d,2709,0,counted_not_fetched_total_limit_exceeded,10000,all_questions_total=13419
OTC-LIT-Q02-NSAID,20260726T164128Z,2026-07-26T16:41:29.263466+00:00,1675e6c6cd3ce0d291fcb6686762460664dfe5348d906a79482be7f1771b279d,683,0,counted_not_fetched_total_limit_exceeded,10000,all_questions_total=13419
OTC-LIT-Q03-COLD-ALLERGY,20260726T164128Z,2026-07-26T16:41:29.977636+00:00,3854f5b46261f8e834f0cb16d4a2da58f4b417199099883b40ec79bc8170f6cf,1533,0,counted_not_fetched_total_limit_exceeded,10000,all_questions_total=13419
OTC-LIT-Q04-DIGESTIVE,20260726T164128Z,2026-07-26T16:41:30.752292+00:00,373030adfdc6abecea8cef74201b9a4c03752e4dca8a0c054ff8fc401211ac9c,7781,0,counted_not_fetched_total_limit_exceeded,10000,all_questions_total=13419
OTC-LIT-Q05-TOPICAL,20260726T164128Z,2026-07-26T16:41:31.496253+00:00,ab20ccfac82d1c64b446ee19f86d644c92d354d5bb5851b2d6d00076968051c7,713,0,counted_not_fetched_total_limit_exceeded,10000,all_questions_total=13419
OTC-LIT-Q01-ACETAMINOPHEN,20260726T164207Z,2026-07-26T16:42:07.896624+00:00,66cf6c37f45d4b7c3812133a6b1468d2f1588dc2ee024dcac087a5837f914b2d,2709,2709,complete,10000,
OTC-LIT-Q02-NSAID,20260726T164207Z,2026-07-26T16:42:09.059811+00:00,1675e6c6cd3ce0d291fcb6686762460664dfe5348d906a79482be7f1771b279d,683,683,complete,10000,
OTC-LIT-Q03-COLD-ALLERGY,20260726T164207Z,2026-07-26T16:42:09.786004+00:00,3854f5b46261f8e834f0cb16d4a2da58f4b417199099883b40ec79bc8170f6cf,1533,1533,complete,10000,
OTC-LIT-Q04-DIGESTIVE,20260726T164207Z,2026-07-26T16:42:10.520674+00:00,57ef66989d5084ca819cdf24cc45da1f094e1c47b1eeac6d9838042ef25b2b34,104,104,complete,10000,
OTC-LIT-Q05-TOPICAL,20260726T164207Z,2026-07-26T16:42:11.257255+00:00,ab20ccfac82d1c64b446ee19f86d644c92d354d5bb5851b2d6d00076968051c7,713,713,complete,10000,
