link_id,rule_id,rule_type,pmid,record_id,doi,title,journal,publication_year,publication_types,study_design,corpus_membership,screening_decision,evidence_relation,evidence_authority,locator,locator_quote_en,ingredient_ids,profile_conditions,key_finding_ko,selection_reason_ko,limitation_ko,authorization_alignment,authorization_note_ko,review_status,supports_rule_release,url
OTC-LIT-V50-LINK-001,OTC-RULE-001,duplicate_ingredient,30306812,PMID-30306812,10.1080/15563650.2018.1517879,Poison center exposures due to therapeutic misuse of nonprescription acetaminophen-containing combination products in the United States 2007-2016.,"Clinical toxicology (Philadelphia, Pa.)",2019,Journal Article,중독관리센터 신고 자료 후향 관찰연구,v5_search_corpus,retain,supports_caution,literature_explanatory_only,abstract:sentence:10,More than one acetaminophen-containing product was involved in 24.8% of exposures.,ING-acetaminophen,,미국 중독관리센터에 접수된 아세트아미노펜 복합제 치료적 오용 사례의 24.8%에서 아세트아미노펜 함유 제품이 두 개 이상 함께 쓰였습니다.,같은 성분이 여러 제품에 겹치는 상황이 실제로 과량 노출로 이어진다는 것을 보여 주므로 성분 중복 경고의 배경 설명에 씁니다.,미국 중독관리센터 신고 자료라서 국내 복용 실태나 개인의 위험도를 정하지 않습니다.,consistent,,agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/30306812/
OTC-LIT-V50-LINK-002,OTC-RULE-002,duplicate_pharmacologic_class,26739516,PMID-26739516,10.1016/j.phrs.2015.12.026,"Risk of gastrointestinal complications associated to NSAIDs, low-dose aspirin and their combinations: Results of a pharmacovigilance reporting system.",Pharmacological research,2016,Journal Article,자발보고 약물감시 자료 case/non-case 분석,v5_search_corpus,retain,supports_caution,literature_explanatory_only,abstract:sentence:13,"The highest associations were found for the combined use of NSAIDs and/or LDA, whilst the lowest associations were for their respective monotherapy.",ING-ibuprofen;ING-dexibuprofen;ING-naproxen,,위장관 이상반응과의 연관성은 NSAID와 저용량 아스피린을 함께 쓴 경우에 가장 높았고 각각 단독 사용에서 가장 낮았습니다.,같은 계열을 겹쳐 쓰는 것이 단독 사용보다 위험 신호가 크다는 점을 설명합니다.,이탈리아 자발보고 자료의 보고오즈비여서 발생률이 아니며 보고 편향이 있습니다.,consistent,,agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/26739516/
OTC-LIT-V50-LINK-003,OTC-RULE-004,minimum_interval,30030041,PMID-30030041,10.1016/j.japh.2018.05.012,Exceeding the maximum daily dose of acetaminophen with use of different single-ingredient OTC formulations.,Journal of the American Pharmacists Association : JAPhA,2018,Journal Article,다년도 약물일지 기반 관찰연구,v5_search_corpus,retain,supports_caution,literature_explanatory_only,abstract:sentence:7,Users of 650-mg ER formulations were significantly less likely to know their dosing interval of 8 hours (33% vs. 49%; P < 0.0001) and more likely to redose too soon (26% vs. 10%; P < 0.0001) and to use other acetaminophen medications concomitantly (14% vs. 7%; P < 0.0001).,ING-acetaminophen,hoursSincePreviousDose,650 mg 서방정 사용자는 8시간 복용 간격을 아는 비율이 낮았고 너무 이른 재복용이 더 잦았습니다.,복용 간격을 모르면 재복용이 앞당겨진다는 연결을 보여 주므로 최소 간격 경고의 배경입니다.,미국 성인 자기기록 관찰연구이고 대상 제형이 국내 허가 제형과 다릅니다.,consistent,,agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/30030041/
OTC-LIT-V50-LINK-004,OTC-RULE-005,age_restriction,22617049,PMID-22617049,10.1258/jrsm.2012.110330,Proposed MHRA changes to UK children's paracetamol dosing recommendations: modelling study.,Journal of the Royal Society of Medicine,2012,Evaluation Study;Journal Article,용법 모델링 비교연구,v5_search_corpus,retain,supports_caution,literature_explanatory_only,abstract:sentence:7,"RESULTS: With the current product dosing instructions, underweight children are at risk of receiving approximately two times the recommended single and cumulative daily dose of paracetamol, particularly at age 1 year and 6 years.",ING-acetaminophen,ageYears,기존 제품 표기 용법으로는 저체중 소아가 권장 1회량·1일 총량의 약 두 배를 받을 위험이 있었고 1세와 6세에서 특히 두드러졌습니다.,연령 기준만으로 용량을 정할 때 생기는 오차를 보여 주므로 연령 제한 경고를 설명합니다.,영국 제품 표기를 대상으로 한 모델링 연구이며 실제 복용 결과를 관찰하지 않았습니다.,consistent,,agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/22617049/
OTC-LIT-V50-LINK-005,OTC-RULE-005,age_restriction,41803773,PMID-41803773,10.1186/s12889-026-26610-2,Unintentional paediatric paracetamol overdose: a retrospective observational study of dosing errors reported to an Australian Poisons Information Centre.,BMC public health,2026,Journal Article;Observational Study,중독정보센터 자료 후향 관찰연구,v5_search_corpus,retain,supports_caution,literature_explanatory_only,abstract:sentence:11,A communication error between caregivers and strength/formulation selection errors were the most frequently cited reasons for error.,ING-acetaminophen,ageYears,소아 파라세타몰 투약 오류의 가장 흔한 원인은 보호자 간 의사소통 착오와 함량·제형 선택 오류였습니다.,연령·제형이 맞지 않는 제품을 고르는 것이 실제 오류의 주된 경로임을 보여 줍니다.,호주 중독정보센터 신고 자료의 후향 관찰연구이며 12세 미만만 대상입니다.,conflict,"같은 초록의 결론(문장 15)은 소아 투약 오류가 간독성·사망으로 이어지는 경우는 드물다고 적어, 연령 기준을 두는 허가 문구보다 결과 심각도를 낮게 봅니다. 허가원문의 연령 기준을 그대로 두고 이 견해차를 지우지 않고 함께 보존합니다.",agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/41803773/
OTC-LIT-V50-LINK-006,OTC-RULE-006,pregnancy_lactation,39714827,PMID-39714827,10.1001/jamapediatrics.2024.4409,Gestational Exposure to Nonsteroidal Anti-Inflammatory Drugs and Risk of Chronic Kidney Disease in Childhood.,JAMA pediatrics,2025,Journal Article,전국 출생 코호트 연구,v5_search_corpus,retain,supports_caution,literature_explanatory_only,abstract:sentence:16,"However, the findings underscore the need for caution when prescribing NSAIDs during pregnancy, particularly indomethacin and ketorolac in the first trimester, mefenamic acid and diclofenac in the second trimester, and ibuprofen in the third trimester, to ensure the safety of the offspring's kidneys.",ING-ibuprofen;ING-dexibuprofen;ING-naproxen,pregnant,"임신 중 NSAID 처방에는 주의가 필요하며, 특히 3분기 이부프로펜에서 소아 만성콩팥병 위험이 높게 나타났습니다.",임신 중 NSAID 노출과 태아 신장 결과를 대규모 코호트로 다룬 자료라 임신 경고의 배경입니다.,대만 처방 자료 기반 코호트이며 일반의약품 자가 복용이 아니라 처방 노출을 봤습니다.,conflict,같은 초록의 결론 앞 문장(문장 15)은 형제 비교에서는 위험 증가가 뚜렷하지 않았다고 적습니다. 허가원문은 임신 말기 투여를 제한하므로 문헌이 허가 판정을 완화하지 않도록 conflict 로 보존합니다.,agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/39714827/
OTC-LIT-V50-LINK-007,OTC-RULE-007,hepatic_disease,26460177,PMID-26460177,10.1111/bcp.12802,Can paracetamol (acetaminophen) be administered to patients with liver impairment?,British journal of clinical pharmacology,2016,Journal Article;Review,서술적 종설,v5_search_corpus,retain,contextualizes_uncertainty,literature_explanatory_only,abstract:sentence:2,"Fulminant hepatic failure has been a well documented consequence of paracetamol overdose since its introduction, while short and long term use have both been associated with elevation of liver transaminases, a surrogate marker for acute liver injury.",ING-acetaminophen,liverDisease,"파라세타몰 과량은 전격간부전으로 이어질 수 있고, 단기·장기 사용 모두 간효소 상승과 연관되어 보고되었습니다.",간질환자에서 아세트아미노펜 사용을 제한해 온 근거와 그 불확실성을 함께 설명합니다.,종설이며 만성 간질환자 대상 권고를 확정하지 않았습니다.,conflict,같은 초록은 과소용량이 오히려 효과를 못 내게 할 수 있다고 적어 무조건적 제한에 이의를 답니다. 허가원문의 간장애 주의를 그대로 두고 이 견해차를 conflict 로 보존합니다.,agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/26460177/
OTC-LIT-V50-LINK-008,OTC-RULE-008,renal_disease,33662136,PMID-33662136,10.1001/jamanetworkopen.2021.0775,Association of Ibuprofen Prescription With Acute Kidney Injury Among Hospitalized Children in China.,JAMA network open,2021,"Journal Article;Research Support, Non-U.S. Gov't",다기관 후향 코호트 연구,v5_search_corpus,retain,supports_caution,literature_explanatory_only,abstract:sentence:14,"Ibuprofen use was associated with a greater hazard in children who had chronic kidney disease vs those without (HR, 2.31 [95% CI, 1.73-3.10] vs 1.19 [95% CI, 1.09-1.29]), required intensive care vs those without this need (HR, 1.47 [95% CI, 1.24-1.75] vs 1.18 [95% CI, 1.07-1.29]), or were older vs younger (>10 years and >1 year to 10 years vs 1 month to 1 year) (HR, 1.64 [95% CI, 1.32-2.05]; 1.36 [95% CI, 1.23-1.52] vs 0.99 [95% CI, 0.86-1.13]).",ING-ibuprofen;ING-dexibuprofen;ING-naproxen,kidneyDisease,이부프로펜 사용은 만성콩팥병이 있는 소아에서 없는 소아보다 급성신손상 위험이 더 크게 나타났습니다.,기존 신장질환이 있을 때 NSAID의 신손상 위험이 커진다는 점을 직접 보여 줍니다.,중국 입원 소아 코호트라 국내 외래 자가 복용 상황과 다릅니다.,consistent,,agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/33662136/
OTC-LIT-V50-LINK-009,OTC-RULE-012,anticoagulant_antiplatelet,39551938,PMID-39551938,10.1093/eurheartj/ehae736,Bleeding risk using non-steroidal anti-inflammatory drugs with anticoagulants after venous thromboembolism: a nationwide Danish study.,European heart journal,2025,Journal Article,전국 코호트 연구,v5_search_corpus,retain,supports_caution,literature_explanatory_only,abstract:sentence:8,CONCLUSIONS: Patients treated with oral anticoagulants for VTE had a more than two-fold increased bleeding rate when using NSAIDs.,ING-ibuprofen;ING-dexibuprofen;ING-naproxen,medications,정맥혈전색전증으로 경구 항응고제를 쓰는 환자가 NSAID를 함께 복용하면 출혈 발생률이 두 배 이상이었습니다.,항응고제 복용자에서 NSAID 병용 시 출혈 위험이 커진다는 점을 대규모 코호트로 보여 줍니다.,덴마크 처방 코호트이며 정맥혈전색전증 환자 집단이라 일반 일반의약품 사용자와 다릅니다.,consistent,,agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/39551938/
OTC-LIT-V50-LINK-010,OTC-RULE-014,decongestant_hypertension,26022219,PMID-26022219,10.1007/s00228-015-1876-1,Potential cardiovascular adverse events when phenylephrine is combined with paracetamol: simulation and narrative review.,European journal of clinical pharmacology,2015,Journal Article;Review,시뮬레이션·서술적 종설,v5_search_corpus,retain,supports_caution,literature_explanatory_only,abstract:sentence:14,CONCLUSIONS: Combination paracetamol phenylephrine oral therapy has potential to increase blood pressure more than phenylephrine alone in those with cardiovascular compromise.,ING-acetaminophen,hypertensionOrCardiovascularDisease,페닐레프린과 파라세타몰 경구 복합요법은 심혈관 여력이 낮은 사람에서 페닐레프린 단독보다 혈압을 더 올릴 수 있습니다.,판콜에이내복액처럼 페닐레프린과 아세트아미노펜이 함께 든 제품에서 고혈압 주의가 필요한 이유를 설명합니다.,시뮬레이션과 서술적 종설이며 실제 환자 대상 임상 결과가 아닙니다.,consistent,,agent_curated_from_v50_final_screening_layer,false,https://pubmed.ncbi.nlm.nih.gov/26022219/
