product_id,ingredient_id,ingredient_name_raw,ingredient_name_normalized,amount_per_unit,amount_unit,unit_basis,variant,selected_for_calculation,source_id,source_locator,normalization_status
MFDS-201110646,ING-dexibuprofen,덱시부프로펜,덱시부프로펜,300,mg,"이 약 1캡슐(1,000밀리그램) 중",단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,verified
MFDS-197500016,ING-naproxen,나프록센,나프록센,250,mg,이 약 1정(267 mg) 중,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,verified
MFDS-200610765,ING-cetirizine_hydrochloride,세티리진염산염,세티리진염산염,10,mg,이 약 1정(118.95밀리그램) 중 - 제조방법,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,verified
MFDS-202106092,ING-acetaminophen,아세트아미노펜,아세트아미노펜,500,mg,1정(615.04 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,verified
MFDS-202200525,ING-acetaminophen,아세트아미노펜(미분화),아세트아미노펜,3.2,g,100밀리리터( ) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,verified
MFDS-198601920,ING-ibuprofen,이부프로펜,이부프로펜,2,g,100mL 중,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,verified
MFDS-198700405,ING-mf-src-7ae387262216,디아스타제·프로테아제·셀룰라제,디아스타제·프로테아제·셀룰라제,50,mg,1정(537 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-198700405,ING-mf-src-a742c02533bc,리파제,리파제,15,mg,1정(537 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-198700405,ING-mf-src-06cdde4eaaee,판프로신,판프로신,20,mg,1정(537 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-198700405,ING-mf-src-0546ff64775e,판셀라제,판셀라제,30,mg,1정(537 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-198700405,ING-mf-src-484bf5816144,판크레아틴장용과립,판크레아틴장용과립,78.6,mg,1정(537 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-198700405,ING-mf-src-7ace07a0f45d,우르소데옥시콜산,우르소데옥시콜산,10,mg,1정(537 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-198700405,ING-mf-src-5abce34aadf5,시메티콘,시메티콘,40,mg,1정(537 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-200300406,ING-mf-src-7ae387262216,디아스타제·프로테아제·셀룰라제,디아스타제·프로테아제·셀룰라제,50.00,mg,1정(605 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-200300406,ING-mf-src-0546ff64775e,판셀라제,판셀라제,30.00,mg,1정(605 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-200300406,ING-mf-src-a5c9920bea02,크리아제-PEG,크리아제-PEG,80.00,mg,1정(605 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
MFDS-200300406,ING-mf-src-db4cde0b063f,디아스타제·프로테아제100,디아스타제·프로테아제100,10.00,mg,1정(605 밀리그램) 중-,단일기준,true,MFDS-NEDRUG-DETAIL,의약품상세정보 > 원료약품 및 분량,candidate
