candidate_id,product_id,item_sequence,product_name,manufacturer_name,classification,authorization_status,dosage_form,package_unit,authorization_document_url,source_id,source_locator,retrieved_at,source_sha256,record_status,calculation_ready,selected_ingredient_variant,calculation_blocker,analysis_status,analysis_exclusion_reason
EXP-OTC-01,MFDS-201110646,201110646,덱스피드연질캡슐(덱시부프로펜),(주)유한양행,일반의약품,active,무색 내지 연청색의 투명한 내용물을 함유하는 청색 투명의 타원형 연질캡슐제,10캡슐(10캡슐/PTP포장 x 1),https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201110646,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,6d3c6b5835050907dc46c7d52c8a53046b862eb50f3d9633edccc60b2b2e8612,verified_from_source,true,단일기준,,included,
EXP-OTC-02,MFDS-197500016,197500016,낙센정(나프록센),(주)종근당,일반의약품,active,미황색(연노랑의) 장방형 정제,10정/PTP,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197500016,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,be639d8763e2c4e39e315d7fcf64941468a6352a3e98676a13fa2aead4f95a8a,verified_from_source,true,단일기준,,included,
EXP-OTC-03,MFDS-200610765,200610765,지르텍정(세티리진염산염),한국유씨비제약(주),일반의약품,active,흰색의 장방형 필름코팅정,"10정(10정 * 1PTP), 100정(10정 * 10PTP)",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200610765,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,c686f619afca4071f3ca1abbd42010f1417d4c1e26df20139188845afff9b9df,verified_from_source,true,단일기준,,included,
SAFE-OTC-01,MFDS-202106092,202106092,타이레놀정500밀리그람(아세트아미노펜),켄뷰코리아판매유한회사,일반의약품,active,흰색의 장방형 필름코팅정제,"블리스터 ) 10 정/상자(10정/PTP*1),8 정/상자(8정/PTP*1), 병) 30 정/병,110 정/병",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202106092,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,a237267fc5082c2be65fbf756ffd07e206f461ef29926e6b9da720d39a502e55,verified_from_source,true,단일기준,,included,
SAFE-OTC-02,MFDS-199402278,199402278,타이레놀정160밀리그람(아세트아미노펜),(주)한국얀센,일반의약품,withdrawn,백색의 장방형 정제,"8정(8정*1PTP)/박스, 1000정/병",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199402278,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,074d76cc32b83faf97c66ffb6f5a1307cc7a8a9fbfa926d1406a0b4936a033f7,excluded,false,단일기준,withdrawn authorization,ineligible,withdrawn_authorization
SAFE-OTC-03,MFDS-199303109,199303109,어린이용타이레놀정80밀리그람(아세트아미노펜),(주)한국얀센,일반의약품,withdrawn,분홍색의 원형정제,"10정(10정*1PTP)/박스, 1000정/병",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199303109,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,b976ca4519cce82c773e98157846918bd7c2f8849be5f733fc77982aa20dc4ac,excluded,false,단일기준,withdrawn authorization,ineligible,withdrawn_authorization
SAFE-OTC-04,MFDS-202200525,202200525,어린이타이레놀현탁액(아세트아미노펜),켄뷰코리아판매유한회사,일반의약품,active,백색 내지 미백색의 체리향 현탁액,"100 밀리리터/병,500 밀리리터/병",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202200525,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,c655d949a48c5ac1a1aa8409cc8109f5e127cf08882c2a115d4be6b943218e1f,verified_from_source,true,단일기준,,included,
SAFE-OTC-05,MFDS-198601920,198601920,어린이부루펜시럽(이부프로펜),삼일제약(주),일반의약품,active,오렌지 냄새를 가진 흰색 내지 연한노란색의 시럽성 현탁액,"80밀리리터/병, 90밀리리터/병, 1000밀리리터/병",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198601920,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,ba9a60733b0c9e2b0f5fcaf4aab2dd3b67b6ae77439167b7106c8c2f54e81a4a,verified_from_source,true,단일기준,,included,
SAFE-OTC-06,MFDS-198700405,198700405,베아제정,(주)대웅제약,일반의약품,active,연녹색의 장방형 필름코팅정제이다.,"3정/PTP, 10정/PTP, 100정/병, 500정/병 수출용 : 20정((10정/PTP)×2), 30정((10정/PTP)×3)",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198700405,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,1db074ef5f1e9712725902411f6dc2522547ef032fa77341579e2836ff1410cf,verified_from_source,true,단일기준,,included,
SAFE-OTC-07,MFDS-200300406,200300406,닥터베아제정,(주)대웅제약,일반의약품,active,주황색의 장방형 필름코팅 정제,"3정/PTP, 10정/PTP, 30정/병",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200300406,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14,c150fb2717532d8784ab64f6420dcace2e7c95c9520b8445fd0586f6a28cefa7,verified_from_source,true,단일기준,,included,
