candidate_id,listed_product_name,resolved_item_sequence,resolved_product_name,authorization_status,verification_status,resolution_note,source_id,source_locator,retrieved_at
SAFE-OTC-01,타이레놀정 500mg,202106092,타이레놀정500밀리그람(아세트아미노펜),active,verified_from_source,기존 허가 199303108은 취하되었고 동일 지정 제품의 현행 허가를 확인함,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보,2026-07-14
SAFE-OTC-02,타이레놀정 160mg,199402278,타이레놀정160밀리그람(아세트아미노펜),withdrawn,excluded,2022-03-21 취하되어 현재 일반의약품 후보에서 제외함,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보 > 취소/취하일자,2026-07-14
SAFE-OTC-03,어린이용 타이레놀정 80mg,199303109,어린이용타이레놀정80밀리그람(아세트아미노펜),withdrawn,excluded,2022-03-21 취하되어 현재 일반의약품 후보에서 제외함,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보 > 취소/취하일자,2026-07-14
SAFE-OTC-04,어린이타이레놀현탁액,202200525,어린이타이레놀현탁액(아세트아미노펜),active,verified_from_source,기존 허가 199603002은 취하되었고 동일 지정 제품의 현행 허가를 확인함,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보,2026-07-14
SAFE-OTC-05,어린이부루펜시럽,198601920,어린이부루펜시럽(이부프로펜),active,verified_from_source,현행 일반의약품 허가 확인,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보,2026-07-14
SAFE-OTC-06,베아제정,198700405,베아제정,active,verified_from_source,현행 일반의약품 허가 확인,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보,2026-07-14
SAFE-OTC-07,닥터베아제정,200300406,닥터베아제정,active,verified_from_source,현행 일반의약품 허가 확인,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보,2026-07-14
SAFE-OTC-08,훼스탈골드정,199900926,훼스탈골드정,active,verified_from_source,현행 일반의약품 허가 확인,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보,2026-07-14
SAFE-OTC-09,훼스탈플러스정,199801026,훼스탈플러스정,active,verified_from_source,현행 일반의약품 허가 확인,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보,2026-07-14
SAFE-OTC-10,판콜에이내복액,196800036,판콜에이내복액,active,verified_from_source,현행 일반의약품 허가 확인,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보,2026-07-14
SAFE-OTC-11,판피린티정,199400202,판피린티정,active,verified_from_source,현행 일반의약품 허가 확인,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보,2026-07-14
SAFE-OTC-12,제일쿨파프,198400250,제일쿨파프,active,verified_from_source,현행 일반의약품 허가 확인; 원료 분량의 제형·규격 변형을 계산 전 추가 확인해야 함,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14
SAFE-OTC-13,신신파스아렉스,200501321,신신파스아렉스,active,verified_from_source,현행 일반의약품 허가 확인; 원료 분량의 다수 규격 변형을 계산 전 추가 확인해야 함,MFDS-NEDRUG-DETAIL,의약품상세정보 > 기본정보; 원료약품 및 분량,2026-07-14
