catalog_source_id,catalog_name,catalog_specification,catalog_category,catalog_normalized_name,catalog_normalized_specification,duplicate_group_id,duplicate_group_size,screening_class,screening_status,candidate_reason,source_enrichment_match_status,mfds_promotion_evidence_complete,required_next_step,promotion_allowed
20250801_173107,이가탄에프캡슐,180캡슐,"구강, 치아",이가탄에프캡슐,180캡슐,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:캡슐,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
20250812_103226,까스활명수-큐액,75mL×10병,드링크,까스활명수큐액,75ml10병,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:액,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
20250812_103118,동아제약 가넥트액,100mL×10병,드링크,동아제약가넥트액,100ml10병,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:액,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
20250812_103045,판콜에스내복액,30mL×10병,드링크,판콜에스내복액,30ml10병,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:액,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
20250812_113450,로시놀 더블액션 크림,20g,무좀,로시놀더블액션크림,20g,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:크림,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
20250812_104612,무조날맥스외용액,5ml,무좀,무조날맥스외용액,5ml,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:액,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
20250812_113439,카네스텐크림,20g,무좀,카네스텐크림,20g,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:크림,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
20250812_105011,비판텐연고,30g,상처,비판텐연고,30g,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:연고,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
20250812_104959,스카덤 클리어겔,20g,상처,스카덤클리어겔,20g,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:겔,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
20250812_104954,콘투락투벡스겔,20g,상처,콘투락투벡스겔,20g,,1,possible_otc_category_requires_official_domain,candidate_requires_official_domain_and_item_match,catalog_category_terminal_form_and_compatible_specification:겔,confirmed,false,classify_source_domain_then_match_mfds_item_sequence_and_authorization,false
