ingredient_form_group_id,ingredient_codes,official_dosage_form,research_classifications,official_product_count,retail_sku_count,official_product_keys
HKG-00592646bf7ae753fd9b,I005733;I007314,경질캡슐,gastrointestinal,1,1,health.kr:2011110400004
HKG-012442cd6bfee1d81197,I002817,시럽제,analgesic_antiinflammatory,1,1,health.kr:2024040400003
HKG-01413f5dc48b8648b757,I000468,액제,antihistamine,2,3,health.kr:2021121000002;health.kr:A11ABBBBB1288
HKG-02dff2effe882f3b885c,I003529;I005733;I006606,연질캡슐,gastrointestinal,1,1,health.kr:A11A0430A0085
HKG-03d5123c663a25e389f1,I000051;I005733;I006092;I006548,경질캡슐,gastrointestinal,1,1,health.kr:2019082200037
HKG-05218c3879e520fb0736,I000236;I000259;I000622;I001985;I002541;I003412;I003529;I004465;I004645;I006376,정제,topical_or_local,1,1,health.kr:2024040400002
HKG-052f986f3c8d817540ed,I004558;I006910,분무제,topical_or_local,1,1,health.kr:2015011500012
HKG-0552a48f18b1cf2a6468,I001983;I004144;I006433,현탁액,gastrointestinal,1,1,health.kr:A11A1280A0365
HKG-05ab0f57d100d27aeb15,I000211;I000485;I001223;I001696;I001885;I002817;I004348;I004615;I005512;I006447;I006469;I006546,경질캡슐,analgesic_antiinflammatory,1,1,health.kr:2019071200031
HKG-06baedfa191399bf6450,I001779;I001885;I006157;I006174;I006455,정제,gastrointestinal,1,1,health.kr:2018080700007
HKG-0758ed1132d49d367a77,I000032;I000259;I000703;I001069;I001587;I001985;I002541;I002717;I003412;I003529;I004272;I004351;I004465;I004642;I004928;I005733;I005885;I006158;I006447;I012318,정제,topical_or_local,1,1,health.kr:2015071400007
HKG-0840d52b929c9e8d8283,I000616;I003529;I004645;I006606,연질캡슐,topical_or_local,1,1,health.kr:2021102200007
HKG-0893524aff73d23d6119,I001885;I004272;I006049;I006080;I006157;I006158;I006174;I006185;I006447;I006469;I006480;I008158;I008207;I008237;I008286;I008340,환제,gastrointestinal,1,1,health.kr:A11AKP07L0357
HKG-08aa837de5d6a543484f,I006761,현탁액,gastrointestinal,2,2,health.kr:2020120100007;health.kr:A11AMMMMM0132
HKG-095a21a340f4e583c6a0,I000032;I000259;I000622;I000703;I001069;I001587;I001985;I002541;I002717;I003412;I003529;I004351;I004465;I004642;I004928;I005713;I005733;I005885;I012318,정제,topical_or_local,1,1,health.kr:2020072200009
HKG-0a679fdac5c7cec57e65,I001885;I004272;I006185;I006445;I006447;I006536;I008127;I008278;I008310,과립,other_otc,1,1,health.kr:2015120200002
HKG-0ba67c446aab88af1da5,I000032;I000259;I000622;I000703;I001069;I001587;I002541;I002717;I003412;I003529;I004351;I004465;I004928;I005713;I005733;I005885,정제,topical_or_local,1,3,health.kr:2015121700002
