catalog_source_id,document_id,official_match_status,official_product_key,official_item_seq,stable_official_key,research_use_status,mfds_promotion_evidence_complete,runtime_promotion_allowed,exclusion_reason
20250801_172323,20250801_172323,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250801_172327,20250801_172327,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250801_172721,20250801_172721,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250801_172722,20250801_172722,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250801_172723,20250801_172723,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250801_172724,20250801_172724,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250801_172844,20250801_172844,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250801_172845,20250801_172845,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250801_172846,20250801_172846,confirmed,A11AHHHHH0243,A11AHHHHH0243,health.kr:A11AHHHHH0243,research_search_usable,false,false,
20250801_173107,20250801_173107,review_required,,,,excluded_unconfirmed,false,false,official_match_status:review_required
20250801_173217,20250801_173217,confirmed,2012091000002,2012091000002,health.kr:2012091000002,research_search_usable,false,false,
20250801_173218,20250801_173218,confirmed,2017090500003,2017090500003,health.kr:2017090500003,research_search_usable,false,false,
20250801_173304,20250801_173304,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250801_173352,20250801_173352,review_required,,,,excluded_unconfirmed,false,false,official_match_status:review_required
20250801_173524,20250801_173524,confirmed,2018110500002,2018110500002,health.kr:2018110500002,research_search_usable,false,false,
20250801_173525,20250801_173525,confirmed,2023111600008,2023111600008,health.kr:2023111600008,research_search_usable,false,false,
20250801_173526,20250801_173526,confirmed,2021121000002,2021121000002,health.kr:2021121000002,research_search_usable,false,false,
20250801_173527,20250801_173527,confirmed,2016071900002,2016071900002,health.kr:2016071900002,research_search_usable,false,false,
20250801_173732,20250801_173732,confirmed,2018080200008,2018080200008,health.kr:2018080200008,research_search_usable,false,false,
20250801_173740,20250801_173740,confirmed,2011111100002,2011111100002,health.kr:2011111100002,research_search_usable,false,false,
20250801_173817,20250801_173817,confirmed,2014103100002,2014103100002,health.kr:2014103100002,research_search_usable,false,false,
20250812_102357,20250812_102357,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_102500,20250812_102500,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_102506,20250812_102506,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_102743,20250812_102743,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_102841,20250812_102841,confirmed,2022122600005,2022122600005,health.kr:2022122600005,research_search_usable,false,false,
20250812_102908,20250812_102908,review_required,,,,excluded_unconfirmed,false,false,official_match_status:review_required
20250812_103011,20250812_103011,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103019,20250812_103019,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103032,20250812_103032,review_required,,,,excluded_unconfirmed,false,false,official_match_status:review_required
20250812_103045,20250812_103045,review_required,,,,excluded_unconfirmed,false,false,official_match_status:review_required
20250812_103059,20250812_103059,review_required,,,,excluded_unconfirmed,false,false,official_match_status:review_required
20250812_103118,20250812_103118,review_required,,,,excluded_unconfirmed,false,false,official_match_status:review_required
20250812_103132,20250812_103132,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103226,20250812_103226,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103254,20250812_103254,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103307,20250812_103307,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103314,20250812_103314,not_found,,,,excluded_unconfirmed,false,false,official_match_status:not_found
20250812_103344,20250812_103344,not_found,,,,excluded_unconfirmed,false,false,official_match_status:not_found
20250812_103426,20250812_103426,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103431,20250812_103431,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103434,20250812_103434,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103447,20250812_103447,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103448,20250812_103448,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103505,20250812_103505,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103509,20250812_103509,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103517,20250812_103517,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103544,20250812_103544,not_found,,,,excluded_unconfirmed,false,false,official_match_status:not_found
20250812_103607,20250812_103607,not_found,,,,excluded_unconfirmed,false,false,official_match_status:not_found
20250812_103618,20250812_103618,not_found,,,,excluded_unconfirmed,false,false,official_match_status:not_found
20250812_103632,20250812_103632,not_found,,,,excluded_unconfirmed,false,false,official_match_status:not_found
20250812_103713,20250812_103713,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
20250812_103723,20250812_103723,not_applicable,,,,excluded_unconfirmed,false,false,official_match_status:not_applicable
