record_id,decision,reason_code,full_text_path,reviewer_id,reviewed_at,locator,notes
EV-K1-24937025,include,INCLUDE,research_v3/full_text/oa_xml/PMC4209182.html,권혁찬,2026-07-13T11:55:11.881Z,"PMC4209182, Introduction, html-p13; PMC4209182, Discussion, html-p62; PMC4209182, Introduction, html-p11; PMC4209182, Discussion, html-p50; PMC4209182, Introduction, html-p15",
EV-K1-36744416,include,INCLUDE,research_v3/full_text/oa_xml/PMC9899558.html,권혁찬,2026-07-13T11:55:14.316Z,"PMC9899558, Plain language summary, html-p25; PMC9899558, Main results, html-p12; PMC9899558, Vitamin D versus placebo: all eligible trials, html-p138; PMC9899558, Why it is important to do this review, html-p35; PMC9899558, Selective reporting, html-p101",
EV-K1-38787821,include,INCLUDE,research_v3/full_text/oa_xml/PMC11125479.xml,권혁찬,2026-07-13T11:55:06.634Z,"PMC11125479, 4 Discussion, p14; PMC11125479, 3 Results > 3.5 Safety outcomes, p13; PMC11125479, 1 Introduction, p2; PMC11125479, 2 Materials and methods > 2.2 Data extraction, p6; PMC11125479, 1 Introduction, p3",
EV-K1-38892507,include,INCLUDE,research_v3/full_text/oa_xml/PMC11174535.xml,권혁찬,2026-07-13T11:55:06.966Z,"PMC11174535, 4. Discussion, p36; PMC11174535, 1. Introduction, p6; PMC11174535, 4. Discussion, p35; PMC11174535, 4. Discussion, p32; PMC11174535, 3. Results > 3.4. Adverse Events, p31",
EV-K1-39300483,include,INCLUDE,research_v3/full_text/oa_xml/PMC11414195.xml,권혁찬,2026-07-13T11:55:07.266Z,"PMC11414195, Methods/design > Safety procedures, Par46; PMC11414195, Background > Pediatric investigations to date, Par34; PMC11414195, Background > Pediatric investigations to date, Par33; PMC11414195, Methods/design > Intervention and controls, Par42; PMC11414195, Background > Current vitamin D supplementation guidelines, Par32",
EV-K1-39886277,include,INCLUDE,research_v3/full_text/oa_xml/PMC11775356.html,권혁찬,2026-07-13T11:55:09.395Z,"PMC11775356, Results, html-p5; PMC11775356, Discussion, html-p38; PMC11775356, Limitations, html-p43",
EV-K1-40083990,include,INCLUDE,research_v3/full_text/oa_xml/PMC11903805.xml,권혁찬,2026-07-13T11:55:09.684Z,"PMC11903805, Discussion, p0350; PMC11903805, Ethics approval and written informed consent, p0380; PMC11903805, Discussion, p0330; PMC11903805, Introduction, p0020; PMC11903805, Materials and methods > Study settings, p0065; PMC11903805, Results > Safety and adverse effect, p0290",
EV-K1-40466630,include,INCLUDE,research_v3/full_text/oa_xml/PMC12193742.xml,권혁찬,2026-07-13T11:55:10.295Z,"PMC12193742, Discussion, p27; PMC12193742, Discussion, p20; PMC12193742, Results, p19; PMC12193742, Methods, p6; PMC12193742, Discussion, p26",
EV-K1-40551736,include,INCLUDE,research_v3/full_text/oa_xml/PMC12183072.xml,권혁찬,2026-07-13T11:55:10.200Z,"PMC12183072, Human health > Bone health > Osteoporosis management, p23; PMC12183072, Conclusion, p114; PMC12183072, Human health > Vitamin D and cystic fibrosis, p75; PMC12183072, Human health > Cardiovascular health, p32; PMC12183072, Human health > Bone health > Bone development and maintenance, p14",
EV-K1-40616189,include,INCLUDE,research_v3/full_text/oa_xml/PMC12226867.xml,권혁찬,2026-07-13T11:55:10.409Z,"PMC12226867, Introduction, Par6; PMC12226867, Conclusion, Par33; PMC12226867, Results > Respiratory, Par18; PMC12226867, Results > Cardiology, Par17; PMC12226867, Results, Par13",
