product_id,item_sequence,product_name,authorization_status,therapeutic_class,support_tier,historical_support_type_label_count,historical_support_type_labels,direct_released_rule_binding_count,direct_released_rule_ids,direct_released_rule_type_count,direct_released_rule_types,admin_derived_support_type_association_count,admin_derived_support_type_labels,dose_or_interval_label_count,broader_safety_label_count,administration_constraint_count,administration_constraint_ids,numeric_finding_decision_bases,ingredient_count,product_source_id,product_source_url,product_source_locator
MFDS-196800036,196800036,판콜에이내복액,active,종합감기약,broader_safety_support,4,decongestant_hypertension;max_daily_dose;sedation_driving;sedative_medication,3,OTC-RULE-010;OTC-RULE-013;OTC-RULE-014,3,decongestant_hypertension;sedation_driving;sedative_medication,1,max_daily_dose,1,3,2,ADMIN-196800036-MAX-DOSES;ADMIN-196800036-MAX-UNITS,administration_constraint,6,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=196800036,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-197500016,197500016,낙센정(나프록센),active,해열진통제,dose_or_interval_only,1,max_daily_dose,0,,0,,1,max_daily_dose,1,0,3,ADMIN-197500016-MAX-DAILY-ING-naproxen;ADMIN-197500016-MAX-DOSES;ADMIN-197500016-MAX-UNITS,administration_constraint,1,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197500016,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-198400250,198400250,제일쿨파프,active,외용 소염진통제,dose_or_interval_only,1,max_daily_dose,0,,0,,1,max_daily_dose,1,0,1,ADMIN-198400250-MAX-DOSES,administration_constraint,5,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198400250,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-198601920,198601920,어린이부루펜시럽(이부프로펜),active,해열진통제,broader_safety_support,5,anticoagulant_antiplatelet;gi_bleeding_ulcer;max_daily_dose;pregnancy_lactation;renal_disease,4,OTC-RULE-006;OTC-RULE-008;OTC-RULE-009;OTC-RULE-012,4,anticoagulant_antiplatelet;gi_bleeding_ulcer;pregnancy_lactation;renal_disease,1,max_daily_dose,1,4,3,ADMIN-198601920-MAX-DAILY-ING-ibuprofen;ADMIN-198601920-MAX-DOSES;ADMIN-198601920-MAX-UNITS,administration_constraint,1,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198601920,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-198700405,198700405,베아제정,active,위장관 일반의약품,dose_or_interval_only,1,max_daily_dose,0,,0,,1,max_daily_dose,1,0,2,ADMIN-198700405-MAX-DOSES;ADMIN-198700405-MAX-UNITS,administration_constraint,7,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198700405,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-199400202,199400202,판피린티정,active,종합감기약,dose_or_interval_only,1,max_daily_dose,0,,0,,1,max_daily_dose,1,0,2,ADMIN-199400202-MAX-DOSES;ADMIN-199400202-MAX-UNITS,administration_constraint,3,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199400202,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-199801026,199801026,훼스탈플러스정,active,위장관 일반의약품,dose_or_interval_only,1,max_daily_dose,0,,0,,1,max_daily_dose,1,0,2,ADMIN-199801026-MAX-DOSES;ADMIN-199801026-MAX-UNITS,administration_constraint,4,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199801026,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-199900926,199900926,훼스탈골드정,active,위장관 일반의약품,dose_or_interval_only,1,max_daily_dose,0,,0,,1,max_daily_dose,1,0,2,ADMIN-199900926-MAX-DOSES;ADMIN-199900926-MAX-UNITS,administration_constraint,7,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900926,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-200300406,200300406,닥터베아제정,active,위장관 일반의약품,dose_or_interval_only,1,max_daily_dose,0,,0,,1,max_daily_dose,1,0,2,ADMIN-200300406-MAX-DOSES;ADMIN-200300406-MAX-UNITS,administration_constraint,9,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200300406,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-200610765,200610765,지르텍정(세티리진염산염),active,항히스타민제,dose_or_interval_only,1,max_daily_dose,0,,0,,1,max_daily_dose,1,0,3,ADMIN-200610765-MAX-DAILY-ING-cetirizine_hydrochloride;ADMIN-200610765-MAX-DOSES;ADMIN-200610765-MAX-UNITS,administration_constraint,1,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200610765,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-201110646,201110646,덱스피드연질캡슐(덱시부프로펜),active,해열진통제,dose_or_interval_only,1,max_daily_dose,0,,0,,1,max_daily_dose,1,0,3,ADMIN-201110646-MAX-DAILY-ING-dexibuprofen;ADMIN-201110646-MAX-DOSES;ADMIN-201110646-MAX-UNITS,administration_constraint,1,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201110646,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-202106092,202106092,타이레놀정500밀리그람(아세트아미노펜),active,해열진통제,broader_safety_support,6,age_restriction;alcohol;hepatic_disease;max_daily_dose;minimum_interval;urgent_referral,6,OTC-RULE-003;OTC-RULE-004;OTC-RULE-005;OTC-RULE-007;OTC-RULE-011;OTC-RULE-016,6,age_restriction;alcohol;hepatic_disease;max_daily_dose;minimum_interval;urgent_referral,0,,2,4,4,ADMIN-202106092-MAX-DAILY-ING-acetaminophen;ADMIN-202106092-MAX-DOSES;ADMIN-202106092-MAX-UNITS;ADMIN-202106092-MIN-INTERVAL,administration_constraint;released_rule,1,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202106092,의약품상세정보 > 기본정보; 원료약품 및 분량
MFDS-202200525,202200525,어린이타이레놀현탁액(아세트아미노펜),active,해열진통제,dose_or_interval_only,2,max_daily_dose;minimum_interval,0,,0,,2,max_daily_dose;minimum_interval,2,0,3,ADMIN-202200525-MAX-DOSES;ADMIN-202200525-MAX-UNITS;ADMIN-202200525-MIN-INTERVAL,administration_constraint,1,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202200525,의약품상세정보 > 기본정보; 원료약품 및 분량
