evidence_candidate_id,evidence_unit_id,rule_id,rule_type,referenced_rule_status,severity,candidate_id,item_sequence,product_id,product_name,ingredient_ids,ingredient_names,ingredient_scope,document_type,source_id,source_url,source_version,source_pdf_sha256,source_page_text_sha256,retrieved_at,retrieved_at_utc,raw_candidate_source_locator,raw_candidate_evidence_text,evidence_text_override,evidence_text_override_reason,shortlist_source_locator,shortlist_evidence_text,shortlist_changed_from_candidate,reviewed_source_locator,reviewed_evidence_text,operational_source_locator,operational_evidence_text,rule_scope,referenced_runtime_condition,rule_message_ko,next_action_ko,referenced_code_link,shortlist_rank,recommendation,evidence_status,candidate_operational_status,status_reason,analysis_status,analysis_exclusion_reason,duplicate_flag,duplicate_group,duplicate_location,duplicate_location_group_id,duplicate_text,duplicate_text_group_id,reviewer_id,reviewer_role,reviewed_at
EXP-OTC-01-NB-P1-B10-decongestant_hypertension,OTC-V51-EU-eb12fb18254cc242,OTC-RULE-014,decongestant_hypertension,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 10",질환의 병력이 없는 경우에도 마찬가지로 적용된다. 환자는 중대한 심혈관계 독성의 징후 및/또는 증상 및 이,false,,,,false,,,,,pancol_a_phenylephrine_hypertension,item_sequence=196800036|flags=decongestant_hypertension,고혈압 또는 심혈관질환에서 비충혈제거제 주의가 필요할 수 있습니다.,복용 전 의사 또는 약사와 상담하세요.,src/lib/otc/engine.ts:1051,,,provisional,inactive_candidate,machine_candidate_not_shortlisted,included,,true,text:OTC-V51-TEXT-505a7d643b33b60b,false,,true,OTC-V51-TEXT-505a7d643b33b60b,,,
EXP-OTC-01-NB-P1-B12-decongestant_hypertension,OTC-V51-EU-6e2d43c93d1ce298,OTC-RULE-014,decongestant_hypertension,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 12","조절되지 않는 고혈압, 울혈심부전증(NYHA II-III), 확립된 허혈성 심장질환, 말초동맥질환, 뇌혈관질환을 가",false,,,,false,,,,,pancol_a_phenylephrine_hypertension,item_sequence=196800036|flags=decongestant_hypertension,고혈압 또는 심혈관질환에서 비충혈제거제 주의가 필요할 수 있습니다.,복용 전 의사 또는 약사와 상담하세요.,src/lib/otc/engine.ts:1051,,,provisional,inactive_candidate,machine_candidate_not_shortlisted,included,,true,text:OTC-V51-TEXT-edc7dea5461e60fb,false,,true,OTC-V51-TEXT-edc7dea5461e60fb,,,
EXP-OTC-01-NB-P1-B14-decongestant_hypertension,OTC-V51-EU-dafb12039af1df61,OTC-RULE-014,decongestant_hypertension,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 14","피해야 한다. 또한 심혈관계 위험 요소(예. 고혈압, 고지혈증, 당뇨병, 흡연)를 가지고 있는 환자가 고용량 덱",false,,,,false,,,,,pancol_a_phenylephrine_hypertension,item_sequence=196800036|flags=decongestant_hypertension,고혈압 또는 심혈관질환에서 비충혈제거제 주의가 필요할 수 있습니다.,복용 전 의사 또는 약사와 상담하세요.,src/lib/otc/engine.ts:1051,,,provisional,inactive_candidate,machine_candidate_not_shortlisted,included,,false,,false,,false,,,,
EXP-OTC-01-NB-P1-B23-age_restriction,OTC-V51-EU-680eb75592bf2271,OTC-RULE-005,age_restriction,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 23",응은 투여 기간 동안에 경고 증상 없이 발생할 수 있다. 고령자(노인)는 중대한 위장관계 이상반응의 위험이,false,,"사용상의주의사항 PDF p.1, 문단 23",응은 투여 기간 동안에 경고 증상 없이 발생할 수 있다. 고령자(노인)는 중대한 위장관계 이상반응의 위험이,false,,,,,tylenol500_minimum_age_12,item_sequence=202106092|minimum_age_years=12,입력한 연령에 적용되는 제한 또는 별도 용량 기준이 있습니다.,소아·고령자 용법을 제품 허가사항과 전문가에게 확인하세요.,src/lib/otc/engine.ts:971,2,alternative_context,needs_expert_review,inactive_candidate,shortlisted_context_not_expert_verified,included,,false,,false,,false,,,,
EXP-OTC-01-NB-P1-B27-gi_bleeding_ulcer,OTC-V51-EU-969f512912bd9558,OTC-RULE-009,gi_bleeding_ulcer,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 27","이 약을 투여하는 동안 위장관계 궤양 또는 출혈의 증상 및 징후에 대하여 신중히 모니터링 하여야 하며, 중증",false,,,,false,,,,,ibuprofen_gi_bleeding_or_ulcer,item_sequence=198601920|flags=gi_bleeding_ulcer,위장관 출혈 또는 궤양 위험과 관련된 제품이 포함되어 있습니다.,복용 전 의사 또는 약사와 상담하세요.,src/lib/otc/engine.ts:1030,,,provisional,inactive_candidate,machine_candidate_not_shortlisted,included,,false,,false,,false,,,,
EXP-OTC-01-NB-P1-B3-alcohol,OTC-V51-EU-fcde2ec872919e21,OTC-RULE-011,alcohol,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 3",1) 매일 3잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의,false,,"사용상의주의사항 PDF p.1, 문단 3",1) 매일 3잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의,false,,,,,acetaminophen_regular_alcohol_use,item_sequence=202106092|ingredient_id=ING-acetaminophen|flags=alcohol,음주와 함께 복용할 때 주의가 필요한 제품이 포함되어 있습니다.,음주 중 복용 전 약사 또는 의사와 상담하세요.,src/lib/otc/engine.ts:1044,2,alternative_context,needs_expert_review,inactive_candidate,shortlisted_context_not_expert_verified,included,,true,location:OTC-V51-EU-fcde2ec872919e21,true,OTC-V51-EU-fcde2ec872919e21,false,,,,
EXP-OTC-01-NB-P1-B3-duplicate_pharmacologic_class,OTC-V51-EU-fcde2ec872919e21,OTC-RULE-002,duplicate_pharmacologic_class,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 3",1) 매일 3잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의,false,,"사용상의주의사항 PDF p.1, 문단 3",1) 매일 3잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의,false,,,,,ibuprofen_and_other_NSAIDs,scope_only_no_structured_binding,같은 NSAID 계열 성분을 함께 복용할 수 있습니다.,함께 복용하지 말고 복용 전 약사 또는 의사와 상담하세요.,src/lib/otc/engine.ts:759,2,alternative_context,needs_expert_review,inactive_candidate,shortlisted_context_not_expert_verified,included,,true,location:OTC-V51-EU-fcde2ec872919e21,true,OTC-V51-EU-fcde2ec872919e21,false,,,,
EXP-OTC-01-NB-P1-B4-gi_bleeding_ulcer,OTC-V51-EU-50bc95b055413bff,OTC-RULE-009,gi_bleeding_ulcer,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 4",사 또는 약사와 상의해야 한다. 이러한 사람이 이 약을 복용하면 위장출혈이 유발될 수 있다.,false,,"사용상의주의사항 PDF p.1, 문단 4",사 또는 약사와 상의해야 한다. 이러한 사람이 이 약을 복용하면 위장출혈이 유발될 수 있다.,false,,,,,ibuprofen_gi_bleeding_or_ulcer,item_sequence=198601920|flags=gi_bleeding_ulcer,위장관 출혈 또는 궤양 위험과 관련된 제품이 포함되어 있습니다.,복용 전 의사 또는 약사와 상담하세요.,src/lib/otc/engine.ts:1030,2,alternative_context,needs_expert_review,inactive_candidate,shortlisted_context_not_expert_verified,included,,true,text:OTC-V51-TEXT-c339e9a702b3d921,false,,true,OTC-V51-TEXT-c339e9a702b3d921,,,
EXP-OTC-01-NB-P1-B5-decongestant_hypertension,OTC-V51-EU-caa8ac59debb9382,OTC-RULE-014,decongestant_hypertension,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 5",2) 심혈관계 위험: 이 약을 포함한 비스테로이드성 소염(항염)진통제는 중대한 심혈관계 혈전(혈관막힘) 반,false,,"사용상의주의사항 PDF p.1, 문단 5",2) 심혈관계 위험: 이 약을 포함한 비스테로이드성 소염(항염)진통제는 중대한 심혈관계 혈전(혈관막힘) 반,false,,,,,pancol_a_phenylephrine_hypertension,item_sequence=196800036|flags=decongestant_hypertension,고혈압 또는 심혈관질환에서 비충혈제거제 주의가 필요할 수 있습니다.,복용 전 의사 또는 약사와 상담하세요.,src/lib/otc/engine.ts:1051,2,alternative_context,needs_expert_review,inactive_candidate,shortlisted_context_not_expert_verified,included,,true,text:OTC-V51-TEXT-984fca6d824445a7,false,,true,OTC-V51-TEXT-984fca6d824445a7,,,
EXP-OTC-01-NB-P1-B7-decongestant_hypertension,OTC-V51-EU-e46f36cfcc8abff9,OTC-RULE-014,decongestant_hypertension,released,high,EXP-OTC-01,201110646,MFDS-201110646,덱스피드연질캡슐(덱시부프로펜),ING-dexibuprofen,덱시부프로펜,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,sha256:1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,1fb48f840d563a2ee2e20c1cf8d9b5d4f5461704db10a8c0970512869889b394,4442260523b9a3fef271fd850cfcd5889cf5a98cf7356f635e1047243badc889,2026-07-14,2026-07-14T02:56:31.878369+00:00,"사용상의주의사항 PDF p.1, 문단 7",험이 증가될 수 있다. 심혈관계 질환 또는 심혈관계 질환의 위험 인자가 있는 환자에서는 더 위험할 수도 있,false,,,,false,,,,,pancol_a_phenylephrine_hypertension,item_sequence=196800036|flags=decongestant_hypertension,고혈압 또는 심혈관질환에서 비충혈제거제 주의가 필요할 수 있습니다.,복용 전 의사 또는 약사와 상담하세요.,src/lib/otc/engine.ts:1051,,,provisional,inactive_candidate,machine_candidate_not_shortlisted,included,,true,text:OTC-V51-TEXT-64408fa82c7f19f6,false,,true,OTC-V51-TEXT-64408fa82c7f19f6,,,
