evidence_unit_id,candidate_id,item_sequence,product_id,product_name,ingredient_ids,ingredient_names,ingredient_scope,document_type,source_id,source_url,source_version,source_pdf_sha256,source_page_text_sha256,retrieved_at,retrieved_at_utc,source_locator,representative_evidence_text,evidence_text_variant_count,evidence_text_variants_json,evidence_text_override_count,candidate_link_count,rule_types,duplicate_flag,duplicate_group,duplicate_location,duplicate_location_group_id,duplicate_text,duplicate_text_group_ids
OTC-V51-EU-a4fe1574fda53710,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,0b3f91b4fc0e6187323c3aaf8044136a6fbcbb434d9ae51c7e21de842eb857fc,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.1, 문단 10","3) 이 약은 아세트아미노펜을 함유하고 있다. 아세트아미노펜으로 일일 최대 용량(4,000mg)을 초과할 경우",1,"[""3) 이 약은 아세트아미노펜을 함유하고 있다. 아세트아미노펜으로 일일 최대 용량(4,000mg)을 초과할 경우""]",0,1,max_daily_dose,true,text:OTC-V51-TEXT-e838e5f7e2ce0091,false,,true,OTC-V51-TEXT-e838e5f7e2ce0091
OTC-V51-EU-7cefc6adff5b7c04,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,0b3f91b4fc0e6187323c3aaf8044136a6fbcbb434d9ae51c7e21de842eb857fc,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.1, 문단 11","간손상을 일으킬 수 있으므로 이 약을 일일 최대 용량(4000mg)을 초과하여 복용하여서는 아니되며, 아세트",1,"[""간손상을 일으킬 수 있으므로 이 약을 일일 최대 용량(4000mg)을 초과하여 복용하여서는 아니되며, 아세트""]",0,2,hepatic_disease;max_daily_dose,true,location:OTC-V51-EU-7cefc6adff5b7c04;text:OTC-V51-TEXT-4a27950adeffee61,true,OTC-V51-EU-7cefc6adff5b7c04,true,OTC-V51-TEXT-4a27950adeffee61
OTC-V51-EU-6449fc0333c056eb,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,0b3f91b4fc0e6187323c3aaf8044136a6fbcbb434d9ae51c7e21de842eb857fc,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.1, 문단 12",아미노펜을 포함하는 다른 제품과 함께 복용하여서는 안 된다.,1,"[""아미노펜을 포함하는 다른 제품과 함께 복용하여서는 안 된다.""]",0,1,duplicate_ingredient,true,text:OTC-V51-TEXT-6aface40f4e3dcdf,false,,true,OTC-V51-TEXT-6aface40f4e3dcdf
OTC-V51-EU-3696b018954b1ff7,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,0b3f91b4fc0e6187323c3aaf8044136a6fbcbb434d9ae51c7e21de842eb857fc,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.1, 문단 15","2) 이 약 및 이 약의 구성성분, 다른 해열진통제, 감기약 복용 시 천식을 일으킨 적이 있는 사람",1,"[""2) 이 약 및 이 약의 구성성분, 다른 해열진통제, 감기약 복용 시 천식을 일으킨 적이 있는 사람""]",0,1,duplicate_pharmacologic_class,true,text:OTC-V51-TEXT-f08e18b7082d3bf1,false,,true,OTC-V51-TEXT-f08e18b7082d3bf1
OTC-V51-EU-8ab7a309f01c4d8b,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,0b3f91b4fc0e6187323c3aaf8044136a6fbcbb434d9ae51c7e21de842eb857fc,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.1, 문단 20","3. 이 약을 복용하는 동안 다음의 약을 복용하지 말 것. 진해(기침을 그치게 함)거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염(코염)용 경구제, 멀미약, 알레르기용약)",1,"[""3. 이 약을 복용하는 동안 다음의 약을 복용하지 말 것. 진해(기침을 그치게 함)거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염(코염)용 경구제, 멀미약, 알레르기용약)""]",1,1,sedative_medication,false,,false,,false,
OTC-V51-EU-610edc70497e328e,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,0b3f91b4fc0e6187323c3aaf8044136a6fbcbb434d9ae51c7e21de842eb857fc,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.1, 문단 23",1) 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아(젖먹이) 및 만 15세 미만의 어린이(구역이,1,"[""1) 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아(젖먹이) 및 만 15세 미만의 어린이(구역이""]",0,1,age_restriction,false,,false,,false,
OTC-V51-EU-27cf2706140cbe63,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,0b3f91b4fc0e6187323c3aaf8044136a6fbcbb434d9ae51c7e21de842eb857fc,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.1, 문단 3",1) 매일 세잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의,1,"[""1) 매일 세잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의""]",0,2,alcohol;duplicate_pharmacologic_class,true,location:OTC-V51-EU-27cf2706140cbe63;text:OTC-V51-TEXT-376e19a8d2c6c54d,true,OTC-V51-EU-27cf2706140cbe63,true,OTC-V51-TEXT-376e19a8d2c6c54d
OTC-V51-EU-185f9071c66d5c68,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,0b3f91b4fc0e6187323c3aaf8044136a6fbcbb434d9ae51c7e21de842eb857fc,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.1, 문단 4",사 또는 약사와 상의해야 한다. 이러한 사람이 이 약을 복용하면 간손상이 유발될 수 있다.,1,"[""사 또는 약사와 상의해야 한다. 이러한 사람이 이 약을 복용하면 간손상이 유발될 수 있다.""]",0,1,hepatic_disease,true,text:OTC-V51-TEXT-320859651b76dcc5,false,,true,OTC-V51-TEXT-320859651b76dcc5
OTC-V51-EU-74c9f9d2e0ab06b6,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,0b3f91b4fc0e6187323c3aaf8044136a6fbcbb434d9ae51c7e21de842eb857fc,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.1, 문단 8","분히 알리고, 이 약 투여 후 피부발진이나 다른 과민반응의 징후가 나타나면 즉시 복용을 중단하도록 하여야",1,"[""분히 알리고, 이 약 투여 후 피부발진이나 다른 과민반응의 징후가 나타나면 즉시 복용을 중단하도록 하여야""]",0,1,urgent_referral,false,,false,,false,
OTC-V51-EU-639faa0bb1687100,SAFE-OTC-10,196800036,MFDS-196800036,판콜에이내복액,ING-acetaminophen;ING-chlorpheniramine_maleate;ING-mf-src-41c782105274;ING-mf-src-4b985f9d3bdb;ING-mf-src-cd3363b1ac1f;ING-mf-src-dc293e7de142,아세트아미노펜;클로르페니라민말레산염;펜톡시베린시트르산염;페닐레프린염산염;구아이페네신;카페인무수물,product_authorized_ingredient_set_not_excerpt_attribution,NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,sha256:4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,4dc2cc19d6409256b5607f139786118d25b38869a1c47ee0150664b7ea18720d,150ea85a174868f56354b9d6bdda0482575690f59024a9c61e579f8916d4561a,2026-07-14,2026-07-14T02:10:14.255342+00:00,"사용상의주의사항 PDF p.2, 문단 13","5. 다음과 같은 경우 이 약의 복용을 즉각 중지하고 의사, 치과의사, 약사와 상의할 것. 상담 시 가능한 한 이 첨",1,"[""5. 다음과 같은 경우 이 약의 복용을 즉각 중지하고 의사, 치과의사, 약사와 상의할 것. 상담 시 가능한 한 이 첨""]",0,1,urgent_referral,true,text:OTC-V51-TEXT-dee9b8705c5e2c8a,false,,true,OTC-V51-TEXT-dee9b8705c5e2c8a
